custom_id,unique_id,full_name,gold,predicted,finish_reason,correct
36,ll_0036,Maria Sandoval,al,al,stop,1
37,ll_0037,Teresa Davis,as,as,stop,1
38,ll_0038,Maria Lewis,as,as,stop,1
39,ll_0039,Luis Diaz,sz,sz,stop,1
40,ll_0040,Paul Fernandez,lz,lz,stop,1
41,ll_0041,Francisco Reyes,os,os,stop,1
42,ll_0042,Lisa Campbell,al,al,stop,1
43,ll_0043,Barbara Cruz,az,az,stop,1
44,ll_0044,Michelle Ortega,ea,ea,stop,1
45,ll_0045,Jorge Allen,en,en,stop,1
46,ll_0046,Mark Jackson,kn,kn,stop,1
47,ll_0047,Miguel Robinson,ln,ln,stop,1
48,ll_0048,Ryan Santiago,no,no,stop,1
49,ll_0049,Mary Reyes,ys,ys,stop,1
50,ll_0050,Antonio Hernandez,oz,oz,stop,1
51,ll_0051,Michelle Fernandez,ez,ez,stop,1
52,ll_0052,Claudia Guerrero,ao,ao,stop,1
53,ll_0053,Anthony Rios,ys,ys,stop,1
54,ll_0054,Chris Sandoval,sl,sl,stop,1
55,ll_0055,Alex Rodriguez,xz,xz,stop,1
56,ll_0056,Maria Patel,al,al,stop,1
57,ll_0057,Eric Ramirez,cz,cz,stop,1
58,ll_0058,Michelle Romero,eo,eo,stop,1
59,ll_0059,David Nelson,dn,dn,stop,1
60,ll_0060,Scott Rojas,ts,ts,stop,1
61,ll_0061,David Johnson,dn,dn,stop,1
62,ll_0062,Stephanie Mendoza,ea,ea,stop,1
63,ll_0063,Mario Gutierrez,oz,oz,stop,1
64,ll_0064,Oscar Silva,ra,ra,stop,1
65,ll_0065,Mike Perez,ez,ez,stop,1
66,ll_0066,Rachel Guerrero,lo,lo,stop,1
67,ll_0067,Ryan Silva,na,na,stop,1
68,ll_0068,Rachel Castro,lo,lo,stop,1
69,ll_0069,Brian Castro,no,no,stop,1
70,ll_0070,Jennifer Estrada,ra,ra,stop,1
71,ll_0071,Anthony Gonzales,ys,ys,stop,1
72,ll_0072,Sandra Lopez,az,az,stop,1
73,ll_0073,Anna Medina,aa,aa,stop,1
74,ll_0074,Kevin Ortiz,nz,nz,stop,1
75,ll_0075,Christopher Scott,rt,rt,stop,1
76,ll_0076,Katie Rios,es,es,stop,1
77,ll_0077,Brian White,ne,ne,stop,1
78,ll_0078,Karen Brown,nn,nn,stop,1
79,ll_0079,Luis White,se,se,stop,1
80,ll_0080,Antonio Sanchez,oz,oz,stop,1
81,ll_0081,Jessica Walker,ar,ar,stop,1
82,ll_0082,Kelly Rios,ys,ys,stop,1
83,ll_0083,Diana Ortiz,az,az,stop,1
84,ll_0084,Jorge Wright,et,et,stop,1
85,ll_0085,Elizabeth Clark,hk,hk,stop,1
86,ll_0086,Gloria Allen,an,an,stop,1
87,ll_0087,Kimberly Ortiz,yz,yz,stop,1
88,ll_0088,Teresa Khan,an,an,stop,1
89,ll_0089,Katie Gutierrez,ez,ez,stop,1
90,ll_0090,Lauren Garcia,na,na,stop,1
91,ll_0091,Diana Silva,aa,aa,stop,1
92,ll_0092,Jose Smith,eh,eh,stop,1
93,ll_0093,Andrew Adams,ws,ws,stop,1
94,ll_0094,Amy Scott,yt,yt,stop,1
95,ll_0095,Susan Fernandez,nz,nz,stop,1
96,ll_0096,Jose Jackson,en,en,stop,1
97,ll_0097,William Aguilar,mr,lr,stop,0
98,ll_0098,Lisa Smith,ah,ah,stop,1
99,ll_0099,Katie Anderson,en,en,stop,1
100,ll_0100,Alex Sanchez,xz,xz,stop,1
101,ll_0101,Lauren White,ne,ne,stop,1
102,ll_0102,Chris Thomas,ss,ss,stop,1
103,ll_0103,Brenda Ortiz,az,az,stop,1
104,ll_0104,Francisco Mitchell,ol,ol,stop,1
105,ll_0105,Jason Rodriguez,nz,nz,stop,1
106,ll_0106,Jason Nelson,nn,nn,stop,1
107,ll_0107,Michael Davis,ls,ls,stop,1
108,ll_0108,Nancy Thomas,ys,ys,stop,1
109,ll_0109,Karen Smith,nh,nh,stop,1
110,ll_0110,Ryan Sandoval,nl,nl,stop,1
111,ll_0111,Carlos Green,sn,sn,stop,1
112,ll_0112,Steve Kim,em,em,stop,1
113,ll_0113,Kim Robinson,mn,mn,stop,1
114,ll_0114,Patricia Sanchez,az,az,stop,1
115,ll_0115,Cindy Harris,ys,ys,stop,1
116,ll_0116,David Anderson,dn,dn,stop,1
117,ll_0117,Elizabeth Santiago,ho,ho,stop,1
118,ll_0118,Claudia Soto,ao,ao,stop,1
119,ll_0119,Scott Mitchell,tl,tl,stop,1
120,ll_0120,Jennifer Cruz,rz,rz,stop,1
121,ll_0121,Sara Mejia,aa,aa,stop,1
122,ll_0122,Robert Alvarez,tz,tz,stop,1
123,ll_0123,Linda Santos,as,as,stop,1
124,ll_0124,Mary Maldonado,yo,yo,stop,1
125,ll_0125,Karen Rivera,na,na,stop,1
126,ll_0126,Brenda King,ag,ag,stop,1
127,ll_0127,Kim Gomez,mz,mz,stop,1
128,ll_0128,Brandon Maldonado,no,no,stop,1
129,ll_0129,Lauren Torres,ns,ns,stop,1
130,ll_0130,Emily Scott,yt,yt,stop,1
131,ll_0131,Nick Gomez,kz,kz,stop,1
132,ll_0132,Karen Patel,nl,nl,stop,1
133,ll_0133,James Torres,ss,ss,stop,1
134,ll_0134,Sandra Moore,ae,ae,stop,1
135,ll_0135,Angel Cruz,lz,lz,stop,1
136,ll_0136,Steven Vazquez,nz,nz,stop,1
137,ll_0137,Ashley Green,yn,yn,stop,1
138,ll_0138,Diana Ramos,as,as,stop,1
139,ll_0139,Jesus Kim,sm,sm,stop,1
140,ll_0140,Mary Kim,ym,ym,stop,1
141,ll_0141,Manuel Williams,ls,ls,stop,1
142,ll_0142,Rosa Lewis,as,as,stop,1
143,ll_0143,Steve Khan,en,en,stop,1
144,ll_0144,Joe Harris,es,es,stop,1
145,ll_0145,Manuel Miller,lr,lr,stop,1
146,ll_0146,Nancy Morales,ys,ys,stop,1
147,ll_0147,Tony Johnson,yn,yn,stop,1
148,ll_0148,Mario Lewis,os,os,stop,1
149,ll_0149,Nick Ramirez,kz,kz,stop,1
150,ll_0150,Nancy Rivera,ya,ya,stop,1
151,ll_0151,Amy Perez,yz,yz,stop,1
152,ll_0152,Christina Williams,as,as,stop,1
153,ll_0153,Ryan Luna,na,na,stop,1
154,ll_0154,Mike Harris,es,es,stop,1
155,ll_0155,Julie Diaz,ez,ez,stop,1
156,ll_0156,Antonio Perez,oz,oz,stop,1
157,ll_0157,Mark Castillo,ko,ko,stop,1
158,ll_0158,Kim Lewis,ms,ms,stop,1
159,ll_0159,Kevin Johnson,nn,nn,stop,1
160,ll_0160,Ashley Gonzalez,yz,yz,stop,1
161,ll_0161,Anna Medina,aa,aa,stop,1
162,ll_0162,Jason Robinson,nn,nn,stop,1
163,ll_0163,Manuel Thomas,ls,ls,stop,1
164,ll_0164,Matt Vazquez,tz,tz,stop,1
165,ll_0165,Jennifer Rodriguez,rz,rz,stop,1
166,ll_0166,Victor Hernandez,rz,rz,stop,1
167,ll_0167,Lauren Brown,nn,nn,stop,1
168,ll_0168,Patricia Gutierrez,az,az,stop,1
169,ll_0169,Juan Harris,ns,ns,stop,1
170,ll_0170,Samantha Santiago,ao,ao,stop,1
171,ll_0171,Martha Hill,al,al,stop,1
172,ll_0172,Scott Thomas,ts,ts,stop,1
173,ll_0173,Christopher Williams,rs,rs,stop,1
174,ll_0174,Teresa Vazquez,az,az,stop,1
175,ll_0175,Nick Castro,ko,ko,stop,1
176,ll_0176,John Anderson,nn,nn,stop,1
177,ll_0177,Nick Alvarado,ko,ko,stop,1
178,ll_0178,Eric Rodriguez,cz,cz,stop,1
179,ll_0179,Kevin Castro,no,no,stop,1
180,ll_0180,Matt Adams,ts,ts,stop,1
181,ll_0181,Jeff Reyes,fs,fs,stop,1
182,ll_0182,Nick Moreno,ko,ko,stop,1
183,ll_0183,Michael Mendez,lz,lz,stop,1
184,ll_0184,Karen White,ne,ne,stop,1
185,ll_0185,Karen Singh,nh,nh,stop,1
186,ll_0186,Jason Ramirez,nz,nz,stop,1
187,ll_0187,Jonathan Nelson,nn,nn,stop,1
188,ll_0188,Mary Castro,yo,yo,stop,1
189,ll_0189,Pedro Ruiz,oz,oz,stop,1
190,ll_0190,Laura Davis,as,as,stop,1
191,ll_0191,Javier Hill,rl,rl,stop,1
192,ll_0192,Amanda Nelson,an,an,stop,1
193,ll_0193,Nicole Rojas,es,es,stop,1
194,ll_0194,Patricia Nguyen,an,an,stop,1
195,ll_0195,Kathy Jones,ys,ys,stop,1
196,ll_0196,Eric Moore,ce,ce,stop,1
197,ll_0197,Patricia Mendoza,aa,aa,stop,1
198,ll_0198,Carlos Cruz,sz,sz,stop,1
199,ll_0199,Mario Martinez,oz,oz,stop,1
200,ll_0200,Paul Rojas,ls,ls,stop,1
201,ll_0201,Elizabeth Torres,hs,hs,stop,1
202,ll_0202,Kelly Gutierrez,yz,yz,stop,1
203,ll_0203,Laura Nelson,an,an,stop,1
204,ll_0204,Rosa Torres,as,as,stop,1
205,ll_0205,Ryan Vazquez,nz,nz,stop,1
206,ll_0206,Jose Silva,ea,ea,stop,1
207,ll_0207,Carlos James,ss,ss,stop,1
208,ll_0208,Karen Perez,nz,nz,stop,1
209,ll_0209,Lisa Thompson,an,an,stop,1
210,ll_0210,Katie Castillo,eo,eo,stop,1
211,ll_0211,Ashley Hall,yl,yl,stop,1
212,ll_0212,Susan Guzman,nn,nn,stop,1
213,ll_0213,Sara Sanchez,az,az,stop,1
214,ll_0214,Kelly Cruz,yz,yz,stop,1
215,ll_0215,Kim Martinez,mz,mz,stop,1
216,ll_0216,Steve Salazar,er,er,stop,1
217,ll_0217,Mike Silva,ea,ea,stop,1
218,ll_0218,Daniel Salazar,lr,nr,stop,0
219,ll_0219,Rachel Walker,lr,lr,stop,1
220,ll_0220,Christopher Clark,rk,rk,stop,1
221,ll_0221,Juan Jackson,nn,nn,stop,1
222,ll_0222,Barbara Jones,as,as,stop,1
223,ll_0223,Kimberly Nguyen,yn,yn,stop,1
224,ll_0224,Jorge Fernandez,ez,ez,stop,1
225,ll_0225,Patricia Adams,as,as,stop,1
226,ll_0226,Steven Wilson,nn,nn,stop,1
227,ll_0227,Kevin Herrera,na,na,stop,1
228,ll_0228,Miguel Harris,ls,ls,stop,1
229,ll_0229,Angel Ruiz,lz,lz,stop,1
230,ll_0230,Lauren Vargas,ns,ns,stop,1
231,ll_0231,Gloria Green,an,an,stop,1
232,ll_0232,Miguel Silva,la,la,stop,1
233,ll_0233,Katie Vega,ea,ea,stop,1
234,ll_0234,Robert Walker,tr,tr,stop,1
235,ll_0235,Emily Harris,ys,ys,stop,1
236,ll_0236,Martha Gonzalez,az,az,stop,1
237,ll_0237,Daniel Torres,ls,ns,stop,0
238,ll_0238,Claudia Aguilar,ar,ar,stop,1
239,ll_0239,Ashley Patel,yl,yl,stop,1
240,ll_0240,Lisa Castro,ao,ao,stop,1
241,ll_0241,Kim Lee,me,me,stop,1
242,ll_0242,Matthew Green,wn,wn,stop,1
243,ll_0243,Joseph Mitchell,hl,hl,stop,1
244,ll_0244,Francisco Ruiz,oz,oz,stop,1
245,ll_0245,Joe Nguyen,en,en,stop,1
246,ll_0246,Jorge Perez,ez,ez,stop,1
247,ll_0247,Kathy Salazar,yr,yr,stop,1
248,ll_0248,Joe Delgado,eo,eo,stop,1
249,ll_0249,Martha Flores,as,as,stop,1
250,ll_0250,Laura Alvarado,ao,ao,stop,1
251,ll_0251,Christopher Moore,re,re,stop,1
252,ll_0252,Katie Marie,ee,ee,stop,1
253,ll_0253,Manuel Garza,la,la,stop,1
254,ll_0254,Andrew Vega,wa,wa,stop,1
255,ll_0255,James Flores,ss,ss,stop,1
256,ll_0256,Kathy Vega,ya,ya,stop,1
257,ll_0257,Mary Clark,yk,yk,stop,1
258,ll_0258,Katie Ortega,ea,ea,stop,1
259,ll_0259,Amy Hernandez,yz,yz,stop,1
260,ll_0260,Veronica Kim,am,am,stop,1
261,ll_0261,Anthony Soto,yo,yo,stop,1
262,ll_0262,Paul James,ls,ls,stop,1
263,ll_0263,Monica Gomez,az,az,stop,1
264,ll_0264,Anthony Garza,ya,ya,stop,1
265,ll_0265,Steve Williams,es,es,stop,1
266,ll_0266,Jennifer Vargas,rs,rs,stop,1
267,ll_0267,Angel Romero,lo,lo,stop,1
268,ll_0268,Gloria Diaz,az,az,stop,1
269,ll_0269,Justin Allen,nn,nn,stop,1
270,ll_0270,Sandra Ramirez,az,az,stop,1
271,ll_0271,Tony Wright,yt,yt,stop,1
272,ll_0272,James Garza,sa,sa,stop,1
273,ll_0273,Daniel Silva,la,na,stop,0
274,ll_0274,Andrew Castro,wo,wo,stop,1
275,ll_0275,Patricia Patel,al,al,stop,1
276,ll_0276,Amy White,ye,ye,stop,1
277,ll_0277,Matthew James,ws,ws,stop,1
278,ll_0278,Nancy Rojas,ys,ys,stop,1
279,ll_0279,Matthew Jackson,wn,wn,stop,1
280,ll_0280,Sandra Ortiz,az,az,stop,1
281,ll_0281,Melissa Ramos,as,as,stop,1
282,ll_0282,Christina Wilson,an,an,stop,1
283,ll_0283,Joseph Hall,hl,hl,stop,1
284,ll_0284,Matthew Contreras,ws,ws,stop,1
285,ll_0285,Nicole Wright,et,et,stop,1
286,ll_0286,Jorge Garcia,ea,ea,stop,1
287,ll_0287,John Vega,na,na,stop,1
288,ll_0288,Kathy Soto,yo,yo,stop,1
289,ll_0289,Francisco Khan,on,on,stop,1
290,ll_0290,Karen Cruz,nz,nz,stop,1
291,ll_0291,James Martin,sn,sn,stop,1
292,ll_0292,Eric Hill,cl,cl,stop,1
293,ll_0293,Jonathan Garcia,na,na,stop,1
294,ll_0294,Susan Adams,ns,ns,stop,1
295,ll_0295,Monica Cruz,az,az,stop,1
296,ll_0296,Manuel Carter,lr,lr,stop,1
297,ll_0297,Jennifer Ortega,ra,ra,stop,1
298,ll_0298,Teresa Walker,ar,ar,stop,1
299,ll_0299,Carlos Williams,ss,ss,stop,1
300,ll_0300,Javier Cruz,rz,rz,stop,1
301,ll_0301,Luis Singh,sh,sh,stop,1
302,ll_0302,Rachel Marie,le,le,stop,1
303,ll_0303,Heather Nelson,rn,rn,stop,1
304,ll_0304,Susan Ramirez,nz,nz,stop,1
305,ll_0305,Kim Contreras,ms,ms,stop,1
306,ll_0306,Susan Thompson,nn,nn,stop,1
307,ll_0307,Barbara Khan,an,an,stop,1
308,ll_0308,Amanda Jackson,an,an,stop,1
309,ll_0309,Sara Carter,ar,ar,stop,1
310,ll_0310,Antonio Castillo,oo,oo,stop,1
311,ll_0311,Robert Singh,th,th,stop,1
312,ll_0312,David Moreno,do,do,stop,1
313,ll_0313,Richard Vega,da,da,stop,1
314,ll_0314,Victor Hill,rl,rl,stop,1
315,ll_0315,Michael Thompson,ln,ln,stop,1
316,ll_0316,Sandra Hill,al,al,stop,1
317,ll_0317,Miguel Martin,ln,ln,stop,1
318,ll_0318,James Herrera,sa,sa,stop,1
319,ll_0319,Elizabeth Moore,he,he,stop,1
320,ll_0320,Tony Mitchell,yl,yl,stop,1
321,ll_0321,Anthony Soto,yo,yo,stop,1
322,ll_0322,Oscar Garza,ra,ra,stop,1
323,ll_0323,Joseph Perez,hz,hz,stop,1
324,ll_0324,Richard Guzman,dn,dn,stop,1
325,ll_0325,Gloria Torres,as,as,stop,1
326,ll_0326,Paul Young,lg,lg,stop,1
327,ll_0327,Sharon Ramos,ns,ns,stop,1
328,ll_0328,Christina Jones,as,as,stop,1
329,ll_0329,Samantha Brown,an,an,stop,1
330,ll_0330,Stephanie Ramirez,ez,ez,stop,1
331,ll_0331,Mary Lee,ye,ye,stop,1
332,ll_0332,Sara Vasquez,az,az,stop,1
333,ll_0333,Lauren Medina,na,na,stop,1
334,ll_0334,Gloria Salazar,ar,ar,stop,1
335,ll_0335,Alex Harris,xs,xs,stop,1
336,ll_0336,Anthony Marie,ye,ye,stop,1
337,ll_0337,Samantha Alvarez,az,az,stop,1
338,ll_0338,Antonio Morales,os,os,stop,1
339,ll_0339,Martha Perez,az,az,stop,1
340,ll_0340,Jonathan Gutierrez,nz,nz,stop,1
341,ll_0341,Mike Miller,er,er,stop,1
342,ll_0342,Kathy Sanchez,yz,yz,stop,1
343,ll_0343,Martha White,ae,ae,stop,1
344,ll_0344,Eric Medina,ca,ca,stop,1
345,ll_0345,Robert Guzman,tn,tn,stop,1
346,ll_0346,Diana Adams,as,as,stop,1
347,ll_0347,Brian Walker,nr,nr,stop,1
348,ll_0348,Linda Reyes,as,as,stop,1
349,ll_0349,Rachel Kim,lm,lm,stop,1
350,ll_0350,Linda Silva,aa,aa,stop,1
351,ll_0351,Elizabeth Perez,hz,hz,stop,1
352,ll_0352,Miguel Diaz,lz,lz,stop,1
353,ll_0353,Gloria Delgado,ao,ao,stop,1
354,ll_0354,Nicole Thomas,es,es,stop,1
355,ll_0355,Sharon Moore,ne,ne,stop,1
356,ll_0356,Angel Castillo,lo,lo,stop,1
357,ll_0357,Mark Jones,ks,ks,stop,1
358,ll_0358,Juan Moore,ne,ne,stop,1
359,ll_0359,Michelle Vargas,es,es,stop,1
360,ll_0360,Eric Anderson,cn,cn,stop,1
361,ll_0361,Michael Gonzales,ls,ls,stop,1
362,ll_0362,Christopher Gomez,rz,rz,stop,1
363,ll_0363,Melissa Vasquez,az,az,stop,1
364,ll_0364,Christopher Hall,rl,rl,stop,1
365,ll_0365,David Romero,do,do,stop,1
366,ll_0366,Javier Flores,rs,rs,stop,1
367,ll_0367,James Anderson,sn,sn,stop,1
368,ll_0368,Antonio Young,og,og,stop,1
369,ll_0369,Nick Nguyen,kn,kn,stop,1
370,ll_0370,Javier Brown,rn,rn,stop,1
371,ll_0371,Gloria Castro,ao,ao,stop,1
372,ll_0372,Samantha Jimenez,az,az,stop,1
373,ll_0373,Carmen Ramos,ns,ns,stop,1
374,ll_0374,Luis Chavez,sz,sz,stop,1
375,ll_0375,Lauren Campbell,nl,nl,stop,1
376,ll_0376,Susan Medina,na,na,stop,1
377,ll_0377,Melissa Young,ag,ag,stop,1
378,ll_0378,Ryan Alvarado,no,no,stop,1
379,ll_0379,John Anderson,nn,nn,stop,1
380,ll_0380,Cindy Maldonado,yo,yo,stop,1
381,ll_0381,Steven Maldonado,no,no,stop,1
382,ll_0382,Michelle Khan,en,en,stop,1
383,ll_0383,Steven Garza,na,na,stop,1
384,ll_0384,Melissa Rivera,aa,aa,stop,1
385,ll_0385,Kathy Singh,yh,yh,stop,1
386,ll_0386,Jennifer Garcia,ra,ra,stop,1
387,ll_0387,Victor Miller,rr,rr,stop,1
388,ll_0388,Carlos Martin,sn,sn,stop,1
389,ll_0389,Ryan Garza,na,na,stop,1
390,ll_0390,Ana King,ag,ag,stop,1
391,ll_0391,Sarah Hill,hl,hl,stop,1
392,ll_0392,Angela Davis,as,as,stop,1
393,ll_0393,Mario Harris,os,os,stop,1
394,ll_0394,Mike Miller,er,er,stop,1
395,ll_0395,Julie Morales,es,es,stop,1
396,ll_0396,Patricia Hernandez,az,an,stop,0
397,ll_0397,Chris Vazquez,sz,sz,stop,1
398,ll_0398,Paul Carter,lr,lr,stop,1
399,ll_0399,Kimberly Smith,yh,yh,stop,1
400,ll_0400,Luis Diaz,sz,sz,stop,1
401,ll_0401,Elizabeth Young,hg,hg,stop,1
402,ll_0402,Jessica Davis,as,as,stop,1
403,ll_0403,Richard Jimenez,dz,dz,stop,1
404,ll_0404,Rachel Anderson,ln,ln,stop,1
405,ll_0405,Kevin James,ns,ns,stop,1
406,ll_0406,Anthony Johnson,yn,yn,stop,1
407,ll_0407,Karen Delgado,no,no,stop,1
408,ll_0408,Sara Ruiz,az,az,stop,1
409,ll_0409,Elizabeth Garza,ha,ha,stop,1
410,ll_0410,Mary Soto,yo,yo,stop,1
411,ll_0411,Brenda Martin,an,an,stop,1
412,ll_0412,Christopher Moore,re,re,stop,1
413,ll_0413,Carlos Kim,sm,sm,stop,1
414,ll_0414,Kathy Ortiz,yz,yz,stop,1
415,ll_0415,Sarah Vazquez,hz,hz,stop,1
416,ll_0416,Antonio Ortega,oa,oa,stop,1
417,ll_0417,Jessica Sandoval,al,al,stop,1
418,ll_0418,Lisa Robinson,an,an,stop,1
419,ll_0419,Cindy Jackson,yn,yn,stop,1
420,ll_0420,Rachel Jones,ls,ls,stop,1
421,ll_0421,Daniel Delgado,lo,lo,stop,1
422,ll_0422,Katie Mitchell,el,el,stop,1
423,ll_0423,Amy Castro,yo,yo,stop,1
424,ll_0424,Angela Mitchell,al,al,stop,1
425,ll_0425,Jesus Singh,sh,sh,stop,1
426,ll_0426,Luis Mendoza,sa,sa,stop,1
427,ll_0427,Scott Soto,to,to,stop,1
428,ll_0428,Mark King,kg,kg,stop,1
429,ll_0429,Claudia Scott,at,at,stop,1
430,ll_0430,Mary Salazar,yr,yr,stop,1
431,ll_0431,Samantha Sandoval,al,al,stop,1
432,ll_0432,Susan Rios,ns,ns,stop,1
433,ll_0433,Pedro Santos,os,os,stop,1
434,ll_0434,Sarah Ruiz,hz,hz,stop,1
435,ll_0435,Justin Wright,nt,nt,stop,1
436,ll_0436,Brian Hill,nl,nl,stop,1
437,ll_0437,Lisa Romero,ao,ao,stop,1
438,ll_0438,Jose Allen,en,en,stop,1
439,ll_0439,Kimberly Gonzalez,yz,yn,stop,0
440,ll_0440,Javier Thomas,rs,rs,stop,1
441,ll_0441,Amy Khan,yn,yn,stop,1
442,ll_0442,Francisco Fernandez,oz,oz,stop,1
443,ll_0443,Paul Hall,ll,ll,stop,1
444,ll_0444,Christopher Khan,rn,rn,stop,1
445,ll_0445,Andrew Santiago,wo,wo,stop,1
446,ll_0446,Nicole Johnson,en,en,stop,1
447,ll_0447,Michelle Guzman,en,en,stop,1
448,ll_0448,Ryan Delgado,no,no,stop,1
449,ll_0449,Matt Miller,tr,tr,stop,1
450,ll_0450,Matthew Santiago,wo,wo,stop,1
451,ll_0451,Brandon Clark,nk,nk,stop,1
452,ll_0452,Chris Perez,sz,sz,stop,1
453,ll_0453,Anna Diaz,az,az,stop,1
454,ll_0454,Linda Perez,az,az,stop,1
455,ll_0455,Elizabeth Miller,hr,hr,stop,1
456,ll_0456,Sarah Guzman,hn,hn,stop,1
457,ll_0457,Kathy Hernandez,yz,yz,stop,1
458,ll_0458,Kimberly Garza,ya,ya,stop,1
459,ll_0459,Stephanie Carter,er,er,stop,1
460,ll_0460,Julie Thomas,es,es,stop,1
461,ll_0461,David Campbell,dl,dl,stop,1
462,ll_0462,Patricia Rivera,aa,aa,stop,1
463,ll_0463,Angel White,le,le,stop,1
464,ll_0464,Samantha Diaz,az,az,stop,1
465,ll_0465,Martha Gonzalez,az,az,stop,1
466,ll_0466,Nicole Williams,es,es,stop,1
467,ll_0467,Michael Moore,le,le,stop,1
468,ll_0468,Diana Flores,as,as,stop,1
469,ll_0469,Steven Guerrero,no,no,stop,1
470,ll_0470,Carmen Moore,ne,ne,stop,1
471,ll_0471,Claudia Kim,am,am,stop,1
472,ll_0472,Mario Jones,os,os,stop,1
473,ll_0473,Steven Luna,na,na,stop,1
474,ll_0474,Brenda Herrera,aa,aa,stop,1
475,ll_0475,Teresa Maldonado,ao,ao,stop,1
476,ll_0476,Jennifer Vasquez,rz,rz,stop,1
477,ll_0477,Mary Mitchell,yl,yl,stop,1
478,ll_0478,Steve Castro,eo,eo,stop,1
479,ll_0479,Lisa Kim,am,am,stop,1
480,ll_0480,Kim Sanchez,mz,mz,stop,1
481,ll_0481,Justin Harris,ns,ns,stop,1
482,ll_0482,Rachel Walker,lr,lr,stop,1
483,ll_0483,James Campbell,sl,sl,stop,1
484,ll_0484,Samantha Gutierrez,az,az,stop,1
485,ll_0485,Michelle Mitchell,el,el,stop,1
486,ll_0486,Jessica Gomez,az,az,stop,1
487,ll_0487,Jonathan Garcia,na,na,stop,1
488,ll_0488,Christina Rojas,as,as,stop,1
489,ll_0489,Jonathan Alvarado,no,no,stop,1
490,ll_0490,Ryan Smith,nh,nh,stop,1
491,ll_0491,Claudia Mendez,az,az,stop,1
492,ll_0492,Christina Vazquez,az,az,stop,1
493,ll_0493,John Chavez,nz,nz,stop,1
494,ll_0494,Angel Garcia,la,la,stop,1
495,ll_0495,Brandon Smith,nh,nh,stop,1
496,ll_0496,Jeff White,fe,fe,stop,1
497,ll_0497,Juan Lewis,ns,ns,stop,1
498,ll_0498,Christina Taylor,ar,ar,stop,1
499,ll_0499,Maria Estrada,aa,aa,stop,1
500,ll_0500,Andrew Martinez,wz,wz,stop,1
501,ll_0501,Kelly Hall,yl,yl,stop,1
502,ll_0502,Ryan Green,nn,nn,stop,1
503,ll_0503,Angel Ruiz,lz,lz,stop,1
504,ll_0504,Kevin Walker,nr,nr,stop,1
505,ll_0505,Teresa Ortega,aa,aa,stop,1
506,ll_0506,Carlos Fernandez,sz,sz,stop,1
507,ll_0507,Elizabeth Thomas,hs,hs,stop,1
508,ll_0508,Amy Gonzalez,yz,yz,stop,1
509,ll_0509,Jesus Thompson,sn,sn,stop,1
510,ll_0510,Richard Chavez,dz,dz,stop,1
511,ll_0511,Robert Rivera,ta,ta,stop,1
512,ll_0512,Julie Morales,es,es,stop,1
513,ll_0513,Jessica Chavez,az,az,stop,1
514,ll_0514,Daniel Romero,lo,no,stop,0
515,ll_0515,Jennifer Thomas,rs,rs,stop,1
516,ll_0516,Mark Ramos,ks,ks,stop,1
517,ll_0517,Sharon Rios,ns,ns,stop,1
518,ll_0518,Kevin Aguilar,nr,nr,stop,1
519,ll_0519,Christopher Nelson,rn,rn,stop,1
520,ll_0520,Susan Davis,ns,ns,stop,1
521,ll_0521,Mary Santos,ys,ys,stop,1
522,ll_0522,Martha Smith,ah,ah,stop,1
523,ll_0523,Javier Jackson,rn,rn,stop,1
