custom_id,unique_id,text,label,perturbation_type,gold,predicted,finish_reason,correct
85,mf_0017,PwC’s M&A team ranked as Poland’s deals leader by Mergermarket,Finance,p1_format,B,B,stop,1
86,mf_0017,PwC’s M&A team ranked as Poland’s deals leader by Mergermarket,Finance,p1_format_soft,B,B,stop,1
87,mf_0017,PwC’s M&A team ranked as Poland’s deals leader by Mergermarket,Finance,p2_complexity,B,B,stop,1
88,mf_0017,PwC’s M&A team ranked as Poland’s deals leader by Mergermarket,Finance,p4_role,B,B,stop,1
89,mf_0017,PwC’s M&A team ranked as Poland’s deals leader by Mergermarket,Finance,p5_fewshot,B,B,stop,1
90,mf_0018,Healthcare revenue cycles remain complex,Industry,p1_format,D,B,stop,0
91,mf_0018,Healthcare revenue cycles remain complex,Industry,p1_format_soft,D,B,stop,0
92,mf_0018,Healthcare revenue cycles remain complex,Industry,p2_complexity,D,B,stop,0
93,mf_0018,Healthcare revenue cycles remain complex,Industry,p4_role,D,B,stop,0
94,mf_0018,Healthcare revenue cycles remain complex,Industry,p5_fewshot,D,E,stop,0
95,mf_0019,Cyber risk considerations and impacts,Technology,p1_format,F,F,stop,1
96,mf_0019,Cyber risk considerations and impacts,Technology,p1_format_soft,F,F,stop,1
97,mf_0019,Cyber risk considerations and impacts,Technology,p2_complexity,F,F,stop,1
98,mf_0019,Cyber risk considerations and impacts,Technology,p4_role,F,F,stop,1
99,mf_0019,Cyber risk considerations and impacts,Technology,p5_fewshot,F,F,stop,1
100,mf_0020,"European Council conclusions: Fairness, efficiency, and conforming to the digitalization as key areas of European tax policy",Tax & Accounting,p1_format,E,E,stop,1
101,mf_0020,"European Council conclusions: Fairness, efficiency, and conforming to the digitalization as key areas of European tax policy",Tax & Accounting,p1_format_soft,E,E,stop,1
102,mf_0020,"European Council conclusions: Fairness, efficiency, and conforming to the digitalization as key areas of European tax policy",Tax & Accounting,p2_complexity,E,E,stop,1
103,mf_0020,"European Council conclusions: Fairness, efficiency, and conforming to the digitalization as key areas of European tax policy",Tax & Accounting,p4_role,E,E,stop,1
104,mf_0020,"European Council conclusions: Fairness, efficiency, and conforming to the digitalization as key areas of European tax policy",Tax & Accounting,p5_fewshot,E,E,stop,1
105,mf_0021,People and organisation,Business & Management,p1_format,A,A,stop,1
106,mf_0021,People and organisation,Business & Management,p1_format_soft,A,A,stop,1
107,mf_0021,People and organisation,Business & Management,p2_complexity,A,A,stop,1
108,mf_0021,People and organisation,Business & Management,p4_role,A,A,stop,1
109,mf_0021,People and organisation,Business & Management,p5_fewshot,A,A,stop,1
110,mf_0022,Key findings from the global Oil and Gas industry,Industry,p1_format,D,D,stop,1
111,mf_0022,Key findings from the global Oil and Gas industry,Industry,p1_format_soft,D,D,stop,1
112,mf_0022,Key findings from the global Oil and Gas industry,Industry,p2_complexity,D,D,stop,1
113,mf_0022,Key findings from the global Oil and Gas industry,Industry,p4_role,D,D,stop,1
114,mf_0022,Key findings from the global Oil and Gas industry,Industry,p5_fewshot,D,D,stop,1
115,mf_0023,Environmental stewardship,Business & Management,p1_format,A,A,stop,1
116,mf_0023,Environmental stewardship,Business & Management,p1_format_soft,A,A,stop,1
117,mf_0023,Environmental stewardship,Business & Management,p2_complexity,A,A,stop,1
118,mf_0023,Environmental stewardship,Business & Management,p4_role,A,A,stop,1
119,mf_0023,Environmental stewardship,Business & Management,p5_fewshot,A,A,stop,1
120,mf_0024,Q&A What is blockchain?,Technology,p1_format,F,F,stop,1
121,mf_0024,Q&A What is blockchain?,Technology,p1_format_soft,F,F,stop,1
122,mf_0024,Q&A What is blockchain?,Technology,p2_complexity,F,F,stop,1
123,mf_0024,Q&A What is blockchain?,Technology,p4_role,F,F,stop,1
124,mf_0024,Q&A What is blockchain?,Technology,p5_fewshot,F,F,stop,1
125,mf_0025,Winners of the Healthy Sense Award have been announced,Industry,p1_format,D,A,stop,0
126,mf_0025,Winners of the Healthy Sense Award have been announced,Industry,p1_format_soft,D,A,stop,0
127,mf_0025,Winners of the Healthy Sense Award have been announced,Industry,p2_complexity,D,A,stop,0
128,mf_0025,Winners of the Healthy Sense Award have been announced,Industry,p4_role,D,A,stop,0
129,mf_0025,Winners of the Healthy Sense Award have been announced,Industry,p5_fewshot,D,A,stop,0
130,mf_0026,I Fintech and you? and you? and you? and you?,Finance,p1_format,B,F,stop,0
131,mf_0026,I Fintech and you? and you? and you? and you?,Finance,p1_format_soft,B,F,stop,0
132,mf_0026,I Fintech and you? and you? and you? and you?,Finance,p2_complexity,B,B,stop,1
133,mf_0026,I Fintech and you? and you? and you? and you?,Finance,p4_role,B,F,stop,0
134,mf_0026,I Fintech and you? and you? and you? and you?,Finance,p5_fewshot,B,F,stop,0
135,mf_0027,SAP Centre of Excellence,Technology,p1_format,F,F,stop,1
136,mf_0027,SAP Centre of Excellence,Technology,p1_format_soft,F,F,stop,1
137,mf_0027,SAP Centre of Excellence,Technology,p2_complexity,F,F,stop,1
138,mf_0027,SAP Centre of Excellence,Technology,p4_role,F,F,stop,1
139,mf_0027,SAP Centre of Excellence,Technology,p5_fewshot,F,F,stop,1
140,mf_0028,"IFRS news, August 2017",Tax & Accounting,p1_format,E,E,stop,1
141,mf_0028,"IFRS news, August 2017",Tax & Accounting,p1_format_soft,E,E,stop,1
142,mf_0028,"IFRS news, August 2017",Tax & Accounting,p2_complexity,E,E,stop,1
143,mf_0028,"IFRS news, August 2017",Tax & Accounting,p4_role,E,E,stop,1
144,mf_0028,"IFRS news, August 2017",Tax & Accounting,p5_fewshot,E,E,stop,1
145,mf_0029,PwC to drive security and compliance with new cybersecurity suite,Technology,p1_format,F,F,stop,1
146,mf_0029,PwC to drive security and compliance with new cybersecurity suite,Technology,p1_format_soft,F,F,stop,1
147,mf_0029,PwC to drive security and compliance with new cybersecurity suite,Technology,p2_complexity,F,F,stop,1
148,mf_0029,PwC to drive security and compliance with new cybersecurity suite,Technology,p4_role,F,F,stop,1
149,mf_0029,PwC to drive security and compliance with new cybersecurity suite,Technology,p5_fewshot,F,F,stop,1
150,mf_0030,The New Class of Digital Leaders,Technology,p1_format,F,F,stop,1
151,mf_0030,The New Class of Digital Leaders,Technology,p1_format_soft,F,F,stop,1
152,mf_0030,The New Class of Digital Leaders,Technology,p2_complexity,F,F,stop,1
153,mf_0030,The New Class of Digital Leaders,Technology,p4_role,F,F,stop,1
154,mf_0030,The New Class of Digital Leaders,Technology,p5_fewshot,F,F,stop,1
155,mf_0031,Healthcare providers must create agile digital architecture,Industry,p1_format,D,F,stop,0
156,mf_0031,Healthcare providers must create agile digital architecture,Industry,p1_format_soft,D,F,stop,0
157,mf_0031,Healthcare providers must create agile digital architecture,Industry,p2_complexity,D,F,stop,0
158,mf_0031,Healthcare providers must create agile digital architecture,Industry,p4_role,D,F,stop,0
159,mf_0031,Healthcare providers must create agile digital architecture,Industry,p5_fewshot,D,F,stop,0
160,mf_0032,COVID-19,Industry,p1_format,D,C,stop,0
161,mf_0032,COVID-19,Industry,p1_format_soft,D,C,stop,0
162,mf_0032,COVID-19,Industry,p2_complexity,D,B,stop,0
163,mf_0032,COVID-19,Industry,p4_role,D,C,stop,0
164,mf_0032,COVID-19,Industry,p5_fewshot,D,C,stop,0
165,mf_0033,"Type of deal: Debt advisory Sector: Energy
",Industry,p1_format,D,B,stop,0
166,mf_0033,"Type of deal: Debt advisory Sector: Energy
",Industry,p1_format_soft,D,B,stop,0
167,mf_0033,"Type of deal: Debt advisory Sector: Energy
",Industry,p2_complexity,D,B,stop,0
168,mf_0033,"Type of deal: Debt advisory Sector: Energy
",Industry,p4_role,D,B,stop,0
169,mf_0033,"Type of deal: Debt advisory Sector: Energy
",Industry,p5_fewshot,D,B,stop,0
170,mf_0034,Linking ESG to financing and investment activities,Business & Management,p1_format,A,B,stop,0
171,mf_0034,Linking ESG to financing and investment activities,Business & Management,p1_format_soft,A,B,stop,0
172,mf_0034,Linking ESG to financing and investment activities,Business & Management,p2_complexity,A,B,stop,0
173,mf_0034,Linking ESG to financing and investment activities,Business & Management,p4_role,A,B,stop,0
174,mf_0034,Linking ESG to financing and investment activities,Business & Management,p5_fewshot,A,B,stop,0
175,mf_0035,Government/Public Services,Government & Controls,p1_format,C,C,stop,1
176,mf_0035,Government/Public Services,Government & Controls,p1_format_soft,C,C,stop,1
177,mf_0035,Government/Public Services,Government & Controls,p2_complexity,C,C,stop,1
178,mf_0035,Government/Public Services,Government & Controls,p4_role,C,C,stop,1
179,mf_0035,Government/Public Services,Government & Controls,p5_fewshot,C,C,stop,1
180,mf_0036,Ethics & Compliance Management,Government & Controls,p1_format,C,A,stop,0
181,mf_0036,Ethics & Compliance Management,Government & Controls,p1_format_soft,C,A,stop,0
182,mf_0036,Ethics & Compliance Management,Government & Controls,p2_complexity,C,C,stop,1
183,mf_0036,Ethics & Compliance Management,Government & Controls,p4_role,C,C,stop,1
184,mf_0036,Ethics & Compliance Management,Government & Controls,p5_fewshot,C,C,stop,1
185,mf_0037,Hospitality Industry,Industry,p1_format,D,D,stop,1
186,mf_0037,Hospitality Industry,Industry,p1_format_soft,D,D,stop,1
187,mf_0037,Hospitality Industry,Industry,p2_complexity,D,D,stop,1
188,mf_0037,Hospitality Industry,Industry,p4_role,D,D,stop,1
189,mf_0037,Hospitality Industry,Industry,p5_fewshot,D,D,stop,1
190,mf_0038,Greek real estate taxation: a brief summary 2019,Industry,p1_format,D,E,stop,0
191,mf_0038,Greek real estate taxation: a brief summary 2019,Industry,p1_format_soft,D,E,stop,0
192,mf_0038,Greek real estate taxation: a brief summary 2019,Industry,p2_complexity,D,E,stop,0
193,mf_0038,Greek real estate taxation: a brief summary 2019,Industry,p4_role,D,E,stop,0
194,mf_0038,Greek real estate taxation: a brief summary 2019,Industry,p5_fewshot,D,E,stop,0
195,mf_0039,Tax and legal news 4 May 2017,Tax & Accounting,p1_format,E,E,stop,1
196,mf_0039,Tax and legal news 4 May 2017,Tax & Accounting,p1_format_soft,E,E,stop,1
197,mf_0039,Tax and legal news 4 May 2017,Tax & Accounting,p2_complexity,E,E,stop,1
198,mf_0039,Tax and legal news 4 May 2017,Tax & Accounting,p4_role,E,E,stop,1
199,mf_0039,Tax and legal news 4 May 2017,Tax & Accounting,p5_fewshot,E,E,stop,1
200,mf_0040,Digital Forensics and Data Analytics Solutions,Government & Controls,p1_format,C,F,stop,0
201,mf_0040,Digital Forensics and Data Analytics Solutions,Government & Controls,p1_format_soft,C,F,stop,0
202,mf_0040,Digital Forensics and Data Analytics Solutions,Government & Controls,p2_complexity,C,F,stop,0
203,mf_0040,Digital Forensics and Data Analytics Solutions,Government & Controls,p4_role,C,F,stop,0
204,mf_0040,Digital Forensics and Data Analytics Solutions,Government & Controls,p5_fewshot,C,F,stop,0
205,mf_0041,"Family, country, and community': Giving something back in South Africa: Global Family Business Survey 2016: PwC",Business & Management,p1_format,A,A,stop,1
206,mf_0041,"Family, country, and community': Giving something back in South Africa: Global Family Business Survey 2016: PwC",Business & Management,p1_format_soft,A,A,stop,1
207,mf_0041,"Family, country, and community': Giving something back in South Africa: Global Family Business Survey 2016: PwC",Business & Management,p2_complexity,A,A,stop,1
208,mf_0041,"Family, country, and community': Giving something back in South Africa: Global Family Business Survey 2016: PwC",Business & Management,p4_role,A,A,stop,1
209,mf_0041,"Family, country, and community': Giving something back in South Africa: Global Family Business Survey 2016: PwC",Business & Management,p5_fewshot,A,A,stop,1
210,mf_0042,"Tax and legal news, April 2019 ",Tax & Accounting,p1_format,E,E,stop,1
211,mf_0042,"Tax and legal news, April 2019 ",Tax & Accounting,p1_format_soft,E,E,stop,1
212,mf_0042,"Tax and legal news, April 2019 ",Tax & Accounting,p2_complexity,E,E,stop,1
213,mf_0042,"Tax and legal news, April 2019 ",Tax & Accounting,p4_role,E,E,stop,1
214,mf_0042,"Tax and legal news, April 2019 ",Tax & Accounting,p5_fewshot,E,E,stop,1
215,mf_0043,IT Applications and Software Consulting - not as straightforward as it used to be,Technology,p1_format,F,F,stop,1
216,mf_0043,IT Applications and Software Consulting - not as straightforward as it used to be,Technology,p1_format_soft,F,F,stop,1
217,mf_0043,IT Applications and Software Consulting - not as straightforward as it used to be,Technology,p2_complexity,F,F,stop,1
218,mf_0043,IT Applications and Software Consulting - not as straightforward as it used to be,Technology,p4_role,F,F,stop,1
219,mf_0043,IT Applications and Software Consulting - not as straightforward as it used to be,Technology,p5_fewshot,F,F,stop,1
220,mf_0044,Worldwide Tax Summaries 2018/2019,Tax & Accounting,p1_format,E,E,stop,1
221,mf_0044,Worldwide Tax Summaries 2018/2019,Tax & Accounting,p1_format_soft,E,E,stop,1
222,mf_0044,Worldwide Tax Summaries 2018/2019,Tax & Accounting,p2_complexity,E,E,stop,1
223,mf_0044,Worldwide Tax Summaries 2018/2019,Tax & Accounting,p4_role,E,E,stop,1
224,mf_0044,Worldwide Tax Summaries 2018/2019,Tax & Accounting,p5_fewshot,E,E,stop,1
225,mf_0045,Forensic Services,Government & Controls,p1_format,C,E,stop,0
226,mf_0045,Forensic Services,Government & Controls,p1_format_soft,C,E,stop,0
227,mf_0045,Forensic Services,Government & Controls,p2_complexity,C,E,stop,0
228,mf_0045,Forensic Services,Government & Controls,p4_role,C,E,stop,0
229,mf_0045,Forensic Services,Government & Controls,p5_fewshot,C,E,stop,0
230,mf_0046,Deal summary Coreplast Laitila Oy,Finance,p1_format,B,A,stop,0
231,mf_0046,Deal summary Coreplast Laitila Oy,Finance,p1_format_soft,B,B,stop,1
232,mf_0046,Deal summary Coreplast Laitila Oy,Finance,p2_complexity,B,B,stop,1
233,mf_0046,Deal summary Coreplast Laitila Oy,Finance,p4_role,B,B,stop,1
234,mf_0046,Deal summary Coreplast Laitila Oy,Finance,p5_fewshot,B,B,stop,1
235,mf_0047,Cédric Nidecker: Intrapreneur to the rescue,Business & Management,p1_format,A,A,stop,1
236,mf_0047,Cédric Nidecker: Intrapreneur to the rescue,Business & Management,p1_format_soft,A,A,stop,1
237,mf_0047,Cédric Nidecker: Intrapreneur to the rescue,Business & Management,p2_complexity,A,A,stop,1
238,mf_0047,Cédric Nidecker: Intrapreneur to the rescue,Business & Management,p4_role,A,A,stop,1
239,mf_0047,Cédric Nidecker: Intrapreneur to the rescue,Business & Management,p5_fewshot,A,A,stop,1
240,mf_0048,PwC at Mobile World Congress 2018,Technology,p1_format,F,F,stop,1
241,mf_0048,PwC at Mobile World Congress 2018,Technology,p1_format_soft,F,F,stop,1
242,mf_0048,PwC at Mobile World Congress 2018,Technology,p2_complexity,F,F,stop,1
243,mf_0048,PwC at Mobile World Congress 2018,Technology,p4_role,F,F,stop,1
244,mf_0048,PwC at Mobile World Congress 2018,Technology,p5_fewshot,F,F,stop,1
245,mf_0049,Consumers ready to embrace AI and robots for their healthcare needs,Industry,p1_format,D,F,stop,0
246,mf_0049,Consumers ready to embrace AI and robots for their healthcare needs,Industry,p1_format_soft,D,F,stop,0
247,mf_0049,Consumers ready to embrace AI and robots for their healthcare needs,Industry,p2_complexity,D,F,stop,0
248,mf_0049,Consumers ready to embrace AI and robots for their healthcare needs,Industry,p4_role,D,F,stop,0
249,mf_0049,Consumers ready to embrace AI and robots for their healthcare needs,Industry,p5_fewshot,D,F,stop,0
250,mf_0050,FinTech’s growing influence on Financial Services,Finance,p1_format,B,F,stop,0
251,mf_0050,FinTech’s growing influence on Financial Services,Finance,p1_format_soft,B,F,stop,0
252,mf_0050,FinTech’s growing influence on Financial Services,Finance,p2_complexity,B,F,stop,0
253,mf_0050,FinTech’s growing influence on Financial Services,Finance,p4_role,B,F,stop,0
254,mf_0050,FinTech’s growing influence on Financial Services,Finance,p5_fewshot,B,F,stop,0
255,mf_0051,Tax Services,Tax & Accounting,p1_format,E,E,stop,1
256,mf_0051,Tax Services,Tax & Accounting,p1_format_soft,E,E,stop,1
257,mf_0051,Tax Services,Tax & Accounting,p2_complexity,E,E,stop,1
258,mf_0051,Tax Services,Tax & Accounting,p4_role,E,E,stop,1
259,mf_0051,Tax Services,Tax & Accounting,p5_fewshot,E,E,stop,1
260,mf_0052,PwC to double CEE Cybersecurity team to 500,Technology,p1_format,F,F,stop,1
261,mf_0052,PwC to double CEE Cybersecurity team to 500,Technology,p1_format_soft,F,F,stop,1
262,mf_0052,PwC to double CEE Cybersecurity team to 500,Technology,p2_complexity,F,F,stop,1
263,mf_0052,PwC to double CEE Cybersecurity team to 500,Technology,p4_role,F,F,stop,1
264,mf_0052,PwC to double CEE Cybersecurity team to 500,Technology,p5_fewshot,F,F,stop,1
265,mf_0053,Total Retail 2017,Industry,p1_format,D,D,stop,1
266,mf_0053,Total Retail 2017,Industry,p1_format_soft,D,D,stop,1
267,mf_0053,Total Retail 2017,Industry,p2_complexity,D,D,stop,1
268,mf_0053,Total Retail 2017,Industry,p4_role,D,D,stop,1
269,mf_0053,Total Retail 2017,Industry,p5_fewshot,D,D,stop,1
270,mf_0054,Transaction Services,Finance,p1_format,B,B,stop,1
271,mf_0054,Transaction Services,Finance,p1_format_soft,B,B,stop,1
272,mf_0054,Transaction Services,Finance,p2_complexity,B,B,stop,1
273,mf_0054,Transaction Services,Finance,p4_role,B,B,stop,1
274,mf_0054,Transaction Services,Finance,p5_fewshot,B,B,stop,1
275,mf_0055,Changes to tax reporting digitalisation landscape during COVID-19,Tax & Accounting,p1_format,E,E,stop,1
276,mf_0055,Changes to tax reporting digitalisation landscape during COVID-19,Tax & Accounting,p1_format_soft,E,E,stop,1
277,mf_0055,Changes to tax reporting digitalisation landscape during COVID-19,Tax & Accounting,p2_complexity,E,E,stop,1
278,mf_0055,Changes to tax reporting digitalisation landscape during COVID-19,Tax & Accounting,p4_role,E,E,stop,1
279,mf_0055,Changes to tax reporting digitalisation landscape during COVID-19,Tax & Accounting,p5_fewshot,E,E,stop,1
280,mf_0056,Deal summary Family Piri / Ruukki Construction,Finance,p1_format,B,B,stop,1
281,mf_0056,Deal summary Family Piri / Ruukki Construction,Finance,p1_format_soft,B,B,stop,1
282,mf_0056,Deal summary Family Piri / Ruukki Construction,Finance,p2_complexity,B,A,stop,0
283,mf_0056,Deal summary Family Piri / Ruukki Construction,Finance,p4_role,B,A,stop,0
284,mf_0056,Deal summary Family Piri / Ruukki Construction,Finance,p5_fewshot,B,B,stop,1
285,mf_0057,2019 Risk in Review Study,Government & Controls,p1_format,C,B,stop,0
286,mf_0057,2019 Risk in Review Study,Government & Controls,p1_format_soft,C,B,stop,0
287,mf_0057,2019 Risk in Review Study,Government & Controls,p2_complexity,C,B,stop,0
288,mf_0057,2019 Risk in Review Study,Government & Controls,p4_role,C,B,stop,0
289,mf_0057,2019 Risk in Review Study,Government & Controls,p5_fewshot,C,B,stop,0
290,mf_0058,The sweet smell of success: Innovation and internationalisation in France: Global Family Business Survey 2016: PwC,Business & Management,p1_format,A,A,stop,1
291,mf_0058,The sweet smell of success: Innovation and internationalisation in France: Global Family Business Survey 2016: PwC,Business & Management,p1_format_soft,A,A,stop,1
292,mf_0058,The sweet smell of success: Innovation and internationalisation in France: Global Family Business Survey 2016: PwC,Business & Management,p2_complexity,A,A,stop,1
293,mf_0058,The sweet smell of success: Innovation and internationalisation in France: Global Family Business Survey 2016: PwC,Business & Management,p4_role,A,A,stop,1
