custom_id,unique_id,full_name,perturbation_type,gold,predicted,finish_reason,correct
47,ll_0009,Anna Vazquez,p2_complexity,az,az,stop,1
48,ll_0009,Anna Vazquez,p4_role,az,az,stop,1
49,ll_0009,Anna Vazquez,p5_fewshot,az,az,stop,1
50,ll_0010,Maria Adams,p1_format,as,as,stop,1
51,ll_0010,Maria Adams,p1_format_soft,as,as,stop,1
52,ll_0010,Maria Adams,p2_complexity,as,as,stop,1
53,ll_0010,Maria Adams,p4_role,as,as,stop,1
54,ll_0010,Maria Adams,p5_fewshot,as,as,stop,1
55,ll_0011,Cindy Garza,p1_format,ya,ya,stop,1
56,ll_0011,Cindy Garza,p1_format_soft,ya,ya,stop,1
57,ll_0011,Cindy Garza,p2_complexity,ya,ya,stop,1
58,ll_0011,Cindy Garza,p4_role,ya,ya,stop,1
59,ll_0011,Cindy Garza,p5_fewshot,ya,ya,stop,1
60,ll_0012,Martha Soto,p1_format,ao,ao,stop,1
61,ll_0012,Martha Soto,p1_format_soft,ao,ao,stop,1
62,ll_0012,Martha Soto,p2_complexity,ao,ao,stop,1
63,ll_0012,Martha Soto,p4_role,ao,ao,stop,1
64,ll_0012,Martha Soto,p5_fewshot,ao,ao,stop,1
65,ll_0013,Scott Johnson,p1_format,tn,tn,stop,1
66,ll_0013,Scott Johnson,p1_format_soft,tn,tn,stop,1
67,ll_0013,Scott Johnson,p2_complexity,tn,tn,stop,1
68,ll_0013,Scott Johnson,p4_role,tn,tn,stop,1
69,ll_0013,Scott Johnson,p5_fewshot,tn,tn,stop,1
70,ll_0014,Samantha Anderson,p1_format,an,an,stop,1
71,ll_0014,Samantha Anderson,p1_format_soft,an,an,stop,1
72,ll_0014,Samantha Anderson,p2_complexity,an,an,stop,1
73,ll_0014,Samantha Anderson,p4_role,an,an,stop,1
74,ll_0014,Samantha Anderson,p5_fewshot,an,an,stop,1
75,ll_0015,Javier Maldonado,p1_format,ro,ro,stop,1
76,ll_0015,Javier Maldonado,p1_format_soft,ro,ro,stop,1
77,ll_0015,Javier Maldonado,p2_complexity,ro,ro,stop,1
78,ll_0015,Javier Maldonado,p4_role,ro,ro,stop,1
79,ll_0015,Javier Maldonado,p5_fewshot,ro,ro,stop,1
80,ll_0016,Linda King,p1_format,ag,ag,stop,1
81,ll_0016,Linda King,p1_format_soft,ag,ag,stop,1
82,ll_0016,Linda King,p2_complexity,ag,ag,stop,1
83,ll_0016,Linda King,p4_role,ag,ag,stop,1
84,ll_0016,Linda King,p5_fewshot,ag,ag,stop,1
85,ll_0017,Angel Contreras,p1_format,ls,ls,stop,1
86,ll_0017,Angel Contreras,p1_format_soft,ls,ls,stop,1
87,ll_0017,Angel Contreras,p2_complexity,ls,ls,stop,1
88,ll_0017,Angel Contreras,p4_role,ls,ls,stop,1
89,ll_0017,Angel Contreras,p5_fewshot,ls,ls,stop,1
90,ll_0018,Carmen Reyes,p1_format,ns,ns,stop,1
91,ll_0018,Carmen Reyes,p1_format_soft,ns,ns,stop,1
92,ll_0018,Carmen Reyes,p2_complexity,ns,ns,stop,1
93,ll_0018,Carmen Reyes,p4_role,ns,ns,stop,1
94,ll_0018,Carmen Reyes,p5_fewshot,ns,ns,stop,1
95,ll_0019,Samantha Harris,p1_format,as,as,stop,1
96,ll_0019,Samantha Harris,p1_format_soft,as,as,stop,1
97,ll_0019,Samantha Harris,p2_complexity,as,as,stop,1
98,ll_0019,Samantha Harris,p4_role,as,as,stop,1
99,ll_0019,Samantha Harris,p5_fewshot,as,as,stop,1
100,ll_0020,Kimberly Diaz,p1_format,yz,yz,stop,1
101,ll_0020,Kimberly Diaz,p1_format_soft,yz,yz,stop,1
102,ll_0020,Kimberly Diaz,p2_complexity,yz,yz,stop,1
103,ll_0020,Kimberly Diaz,p4_role,yz,yz,stop,1
104,ll_0020,Kimberly Diaz,p5_fewshot,yz,yz,stop,1
105,ll_0021,Christopher Vazquez,p1_format,rz,rz,stop,1
106,ll_0021,Christopher Vazquez,p1_format_soft,rz,rz,stop,1
107,ll_0021,Christopher Vazquez,p2_complexity,rz,rz,stop,1
108,ll_0021,Christopher Vazquez,p4_role,rz,rz,stop,1
109,ll_0021,Christopher Vazquez,p5_fewshot,rz,rz,stop,1
110,ll_0022,Carmen Rivera,p1_format,na,na,stop,1
111,ll_0022,Carmen Rivera,p1_format_soft,na,na,stop,1
112,ll_0022,Carmen Rivera,p2_complexity,na,na,stop,1
113,ll_0022,Carmen Rivera,p4_role,na,na,stop,1
114,ll_0022,Carmen Rivera,p5_fewshot,na,na,stop,1
115,ll_0023,Amy Herrera,p1_format,ya,ya,stop,1
116,ll_0023,Amy Herrera,p1_format_soft,ya,ya,stop,1
117,ll_0023,Amy Herrera,p2_complexity,ya,ya,stop,1
118,ll_0023,Amy Herrera,p4_role,ya,ya,stop,1
119,ll_0023,Amy Herrera,p5_fewshot,ya,ya,stop,1
120,ll_0024,Luis Lewis,p1_format,ss,ss,stop,1
121,ll_0024,Luis Lewis,p1_format_soft,ss,ss,stop,1
122,ll_0024,Luis Lewis,p2_complexity,ss,ss,stop,1
123,ll_0024,Luis Lewis,p4_role,ss,ss,stop,1
124,ll_0024,Luis Lewis,p5_fewshot,ss,ss,stop,1
125,ll_0025,Joe James,p1_format,es,es,stop,1
126,ll_0025,Joe James,p1_format_soft,es,es,stop,1
127,ll_0025,Joe James,p2_complexity,es,es,stop,1
128,ll_0025,Joe James,p4_role,es,es,stop,1
129,ll_0025,Joe James,p5_fewshot,es,es,stop,1
130,ll_0026,Cindy Silva,p1_format,ya,ya,stop,1
131,ll_0026,Cindy Silva,p1_format_soft,ya,ya,stop,1
132,ll_0026,Cindy Silva,p2_complexity,ya,ya,stop,1
133,ll_0026,Cindy Silva,p4_role,ya,ya,stop,1
134,ll_0026,Cindy Silva,p5_fewshot,ya,ya,stop,1
135,ll_0027,Joseph Santiago,p1_format,ho,ho,stop,1
136,ll_0027,Joseph Santiago,p1_format_soft,ho,ho,stop,1
137,ll_0027,Joseph Santiago,p2_complexity,ho,ho,stop,1
138,ll_0027,Joseph Santiago,p4_role,ho,ho,stop,1
139,ll_0027,Joseph Santiago,p5_fewshot,ho,ho,stop,1
140,ll_0028,Paul Wright,p1_format,lt,lt,stop,1
141,ll_0028,Paul Wright,p1_format_soft,lt,lt,stop,1
142,ll_0028,Paul Wright,p2_complexity,lt,lt,stop,1
143,ll_0028,Paul Wright,p4_role,lt,lt,stop,1
144,ll_0028,Paul Wright,p5_fewshot,lt,lt,stop,1
145,ll_0029,Jonathan Hernandez,p1_format,nz,nz,stop,1
146,ll_0029,Jonathan Hernandez,p1_format_soft,nz,nz,stop,1
147,ll_0029,Jonathan Hernandez,p2_complexity,nz,nz,stop,1
148,ll_0029,Jonathan Hernandez,p4_role,nz,nz,stop,1
149,ll_0029,Jonathan Hernandez,p5_fewshot,nz,nz,stop,1
150,ll_0030,Michael Walker,p1_format,lr,lr,stop,1
151,ll_0030,Michael Walker,p1_format_soft,lr,lr,stop,1
152,ll_0030,Michael Walker,p2_complexity,lr,lr,stop,1
153,ll_0030,Michael Walker,p4_role,lr,lr,stop,1
154,ll_0030,Michael Walker,p5_fewshot,lr,lr,stop,1
155,ll_0031,Teresa Scott,p1_format,at,at,stop,1
156,ll_0031,Teresa Scott,p1_format_soft,at,at,stop,1
157,ll_0031,Teresa Scott,p2_complexity,at,at,stop,1
158,ll_0031,Teresa Scott,p4_role,at,at,stop,1
159,ll_0031,Teresa Scott,p5_fewshot,at,at,stop,1
160,ll_0032,Laura Estrada,p1_format,aa,aa,stop,1
161,ll_0032,Laura Estrada,p1_format_soft,aa,aa,stop,1
162,ll_0032,Laura Estrada,p2_complexity,aa,aa,stop,1
163,ll_0032,Laura Estrada,p4_role,aa,aa,stop,1
164,ll_0032,Laura Estrada,p5_fewshot,aa,aa,stop,1
165,ll_0033,Jesus Williams,p1_format,ss,ss,stop,1
166,ll_0033,Jesus Williams,p1_format_soft,ss,ss,stop,1
167,ll_0033,Jesus Williams,p2_complexity,ss,ss,stop,1
168,ll_0033,Jesus Williams,p4_role,ss,ss,stop,1
169,ll_0033,Jesus Williams,p5_fewshot,ss,ss,stop,1
170,ll_0034,Emily Romero,p1_format,yo,yo,stop,1
171,ll_0034,Emily Romero,p1_format_soft,yo,yo,stop,1
172,ll_0034,Emily Romero,p2_complexity,yo,yo,stop,1
173,ll_0034,Emily Romero,p4_role,yo,yo,stop,1
174,ll_0034,Emily Romero,p5_fewshot,yo,yo,stop,1
175,ll_0035,Joseph Hill,p1_format,hl,hl,stop,1
176,ll_0035,Joseph Hill,p1_format_soft,hl,hl,stop,1
177,ll_0035,Joseph Hill,p2_complexity,hl,hl,stop,1
178,ll_0035,Joseph Hill,p4_role,hl,hl,stop,1
179,ll_0035,Joseph Hill,p5_fewshot,hl,sl,stop,0
180,ll_0036,Maria Sandoval,p1_format,al,al,stop,1
181,ll_0036,Maria Sandoval,p1_format_soft,al,al,stop,1
182,ll_0036,Maria Sandoval,p2_complexity,al,al,stop,1
183,ll_0036,Maria Sandoval,p4_role,al,al,stop,1
184,ll_0036,Maria Sandoval,p5_fewshot,al,al,stop,1
185,ll_0037,Teresa Davis,p1_format,as,as,stop,1
186,ll_0037,Teresa Davis,p1_format_soft,as,as,stop,1
187,ll_0037,Teresa Davis,p2_complexity,as,as,stop,1
188,ll_0037,Teresa Davis,p4_role,as,as,stop,1
189,ll_0037,Teresa Davis,p5_fewshot,as,as,stop,1
190,ll_0038,Maria Lewis,p1_format,as,as,stop,1
191,ll_0038,Maria Lewis,p1_format_soft,as,as,stop,1
192,ll_0038,Maria Lewis,p2_complexity,as,as,stop,1
193,ll_0038,Maria Lewis,p4_role,as,as,stop,1
194,ll_0038,Maria Lewis,p5_fewshot,as,as,stop,1
195,ll_0039,Luis Diaz,p1_format,sz,sz,stop,1
196,ll_0039,Luis Diaz,p1_format_soft,sz,sz,stop,1
197,ll_0039,Luis Diaz,p2_complexity,sz,sz,stop,1
198,ll_0039,Luis Diaz,p4_role,sz,sz,stop,1
199,ll_0039,Luis Diaz,p5_fewshot,sz,sz,stop,1
200,ll_0040,Paul Fernandez,p1_format,lz,lz,stop,1
201,ll_0040,Paul Fernandez,p1_format_soft,lz,lz,stop,1
202,ll_0040,Paul Fernandez,p2_complexity,lz,lz,stop,1
203,ll_0040,Paul Fernandez,p4_role,lz,lz,stop,1
204,ll_0040,Paul Fernandez,p5_fewshot,lz,lz,stop,1
205,ll_0041,Francisco Reyes,p1_format,os,os,stop,1
206,ll_0041,Francisco Reyes,p1_format_soft,os,os,stop,1
207,ll_0041,Francisco Reyes,p2_complexity,os,os,stop,1
208,ll_0041,Francisco Reyes,p4_role,os,os,stop,1
209,ll_0041,Francisco Reyes,p5_fewshot,os,os,stop,1
210,ll_0042,Lisa Campbell,p1_format,al,al,stop,1
211,ll_0042,Lisa Campbell,p1_format_soft,al,al,stop,1
212,ll_0042,Lisa Campbell,p2_complexity,al,al,stop,1
213,ll_0042,Lisa Campbell,p4_role,al,al,stop,1
214,ll_0042,Lisa Campbell,p5_fewshot,al,al,stop,1
215,ll_0043,Barbara Cruz,p1_format,az,az,stop,1
216,ll_0043,Barbara Cruz,p1_format_soft,az,az,stop,1
217,ll_0043,Barbara Cruz,p2_complexity,az,az,stop,1
218,ll_0043,Barbara Cruz,p4_role,az,az,stop,1
219,ll_0043,Barbara Cruz,p5_fewshot,az,az,stop,1
220,ll_0044,Michelle Ortega,p1_format,ea,ea,stop,1
221,ll_0044,Michelle Ortega,p1_format_soft,ea,ea,stop,1
222,ll_0044,Michelle Ortega,p2_complexity,ea,ea,stop,1
223,ll_0044,Michelle Ortega,p4_role,ea,ea,stop,1
224,ll_0044,Michelle Ortega,p5_fewshot,ea,ea,stop,1
225,ll_0045,Jorge Allen,p1_format,en,en,stop,1
226,ll_0045,Jorge Allen,p1_format_soft,en,en,stop,1
227,ll_0045,Jorge Allen,p2_complexity,en,en,stop,1
228,ll_0045,Jorge Allen,p4_role,en,en,stop,1
229,ll_0045,Jorge Allen,p5_fewshot,en,en,stop,1
230,ll_0046,Mark Jackson,p1_format,kn,kn,stop,1
231,ll_0046,Mark Jackson,p1_format_soft,kn,kn,stop,1
232,ll_0046,Mark Jackson,p2_complexity,kn,kn,stop,1
233,ll_0046,Mark Jackson,p4_role,kn,kn,stop,1
234,ll_0046,Mark Jackson,p5_fewshot,kn,kn,stop,1
235,ll_0047,Miguel Robinson,p1_format,ln,ln,stop,1
236,ll_0047,Miguel Robinson,p1_format_soft,ln,ln,stop,1
237,ll_0047,Miguel Robinson,p2_complexity,ln,ln,stop,1
238,ll_0047,Miguel Robinson,p4_role,ln,ln,stop,1
239,ll_0047,Miguel Robinson,p5_fewshot,ln,ln,stop,1
240,ll_0048,Ryan Santiago,p1_format,no,no,stop,1
241,ll_0048,Ryan Santiago,p1_format_soft,no,no,stop,1
242,ll_0048,Ryan Santiago,p2_complexity,no,no,stop,1
243,ll_0048,Ryan Santiago,p4_role,no,no,stop,1
244,ll_0048,Ryan Santiago,p5_fewshot,no,no,stop,1
245,ll_0049,Mary Reyes,p1_format,ys,ys,stop,1
246,ll_0049,Mary Reyes,p1_format_soft,ys,ys,stop,1
247,ll_0049,Mary Reyes,p2_complexity,ys,ys,stop,1
248,ll_0049,Mary Reyes,p4_role,ys,ys,stop,1
249,ll_0049,Mary Reyes,p5_fewshot,ys,ys,stop,1
250,ll_0050,Antonio Hernandez,p1_format,oz,oz,stop,1
251,ll_0050,Antonio Hernandez,p1_format_soft,oz,oz,stop,1
252,ll_0050,Antonio Hernandez,p2_complexity,oz,oz,stop,1
253,ll_0050,Antonio Hernandez,p4_role,oz,oz,stop,1
254,ll_0050,Antonio Hernandez,p5_fewshot,oz,oz,stop,1
255,ll_0051,Michelle Fernandez,p1_format,ez,ez,stop,1
256,ll_0051,Michelle Fernandez,p1_format_soft,ez,ez,stop,1
257,ll_0051,Michelle Fernandez,p2_complexity,ez,ez,stop,1
258,ll_0051,Michelle Fernandez,p4_role,ez,ez,stop,1
259,ll_0051,Michelle Fernandez,p5_fewshot,ez,ez,stop,1
260,ll_0052,Claudia Guerrero,p1_format,ao,ao,stop,1
261,ll_0052,Claudia Guerrero,p1_format_soft,ao,ao,stop,1
262,ll_0052,Claudia Guerrero,p2_complexity,ao,ao,stop,1
263,ll_0052,Claudia Guerrero,p4_role,ao,ao,stop,1
264,ll_0052,Claudia Guerrero,p5_fewshot,ao,ao,stop,1
265,ll_0053,Anthony Rios,p1_format,ys,ys,stop,1
266,ll_0053,Anthony Rios,p1_format_soft,ys,ys,stop,1
267,ll_0053,Anthony Rios,p2_complexity,ys,ys,stop,1
268,ll_0053,Anthony Rios,p4_role,ys,ys,stop,1
269,ll_0053,Anthony Rios,p5_fewshot,ys,ys,stop,1
270,ll_0054,Chris Sandoval,p1_format,sl,sl,stop,1
271,ll_0054,Chris Sandoval,p1_format_soft,sl,sl,stop,1
272,ll_0054,Chris Sandoval,p2_complexity,sl,sl,stop,1
273,ll_0054,Chris Sandoval,p4_role,sl,sl,stop,1
274,ll_0054,Chris Sandoval,p5_fewshot,sl,sl,stop,1
275,ll_0055,Alex Rodriguez,p1_format,xz,xz,stop,1
276,ll_0055,Alex Rodriguez,p1_format_soft,xz,xz,stop,1
277,ll_0055,Alex Rodriguez,p2_complexity,xz,xz,stop,1
278,ll_0055,Alex Rodriguez,p4_role,xz,xz,stop,1
279,ll_0055,Alex Rodriguez,p5_fewshot,xz,xz,stop,1
280,ll_0056,Maria Patel,p1_format,al,al,stop,1
281,ll_0056,Maria Patel,p1_format_soft,al,al,stop,1
282,ll_0056,Maria Patel,p2_complexity,al,al,stop,1
283,ll_0056,Maria Patel,p4_role,al,al,stop,1
284,ll_0056,Maria Patel,p5_fewshot,al,al,stop,1
285,ll_0057,Eric Ramirez,p1_format,cz,cz,stop,1
286,ll_0057,Eric Ramirez,p1_format_soft,cz,cz,stop,1
287,ll_0057,Eric Ramirez,p2_complexity,cz,cz,stop,1
288,ll_0057,Eric Ramirez,p4_role,cz,cz,stop,1
289,ll_0057,Eric Ramirez,p5_fewshot,cz,cz,stop,1
290,ll_0058,Michelle Romero,p1_format,eo,eo,stop,1
291,ll_0058,Michelle Romero,p1_format_soft,eo,eo,stop,1
292,ll_0058,Michelle Romero,p2_complexity,eo,eo,stop,1
293,ll_0058,Michelle Romero,p4_role,eo,eo,stop,1
294,ll_0058,Michelle Romero,p5_fewshot,eo,eo,stop,1
295,ll_0059,David Nelson,p1_format,dn,dn,stop,1
296,ll_0059,David Nelson,p1_format_soft,dn,dn,stop,1
297,ll_0059,David Nelson,p2_complexity,dn,dn,stop,1
298,ll_0059,David Nelson,p4_role,dn,dn,stop,1
299,ll_0059,David Nelson,p5_fewshot,dn,dn,stop,1
300,ll_0060,Scott Rojas,p1_format,ts,ts,stop,1
301,ll_0060,Scott Rojas,p1_format_soft,ts,ts,stop,1
302,ll_0060,Scott Rojas,p2_complexity,ts,ts,stop,1
303,ll_0060,Scott Rojas,p4_role,ts,ts,stop,1
304,ll_0060,Scott Rojas,p5_fewshot,ts,ts,stop,1
305,ll_0061,David Johnson,p1_format,dn,dn,stop,1
306,ll_0061,David Johnson,p1_format_soft,dn,dn,stop,1
307,ll_0061,David Johnson,p2_complexity,dn,dn,stop,1
308,ll_0061,David Johnson,p4_role,dn,dn,stop,1
309,ll_0061,David Johnson,p5_fewshot,dn,dn,stop,1
310,ll_0062,Stephanie Mendoza,p1_format,ea,ea,stop,1
311,ll_0062,Stephanie Mendoza,p1_format_soft,ea,ea,stop,1
312,ll_0062,Stephanie Mendoza,p2_complexity,ea,ea,stop,1
313,ll_0062,Stephanie Mendoza,p4_role,ea,ea,stop,1
314,ll_0062,Stephanie Mendoza,p5_fewshot,ea,ea,stop,1
315,ll_0063,Mario Gutierrez,p1_format,oz,oz,stop,1
316,ll_0063,Mario Gutierrez,p1_format_soft,oz,oz,stop,1
317,ll_0063,Mario Gutierrez,p2_complexity,oz,oz,stop,1
318,ll_0063,Mario Gutierrez,p4_role,oz,oz,stop,1
319,ll_0063,Mario Gutierrez,p5_fewshot,oz,oz,stop,1
320,ll_0064,Oscar Silva,p1_format,ra,ra,stop,1
321,ll_0064,Oscar Silva,p1_format_soft,ra,ra,stop,1
322,ll_0064,Oscar Silva,p2_complexity,ra,ra,stop,1
323,ll_0064,Oscar Silva,p4_role,ra,ra,stop,1
324,ll_0064,Oscar Silva,p5_fewshot,ra,ra,stop,1
325,ll_0065,Mike Perez,p1_format,ez,ez,stop,1
326,ll_0065,Mike Perez,p1_format_soft,ez,ez,stop,1
327,ll_0065,Mike Perez,p2_complexity,ez,ez,stop,1
328,ll_0065,Mike Perez,p4_role,ez,ez,stop,1
329,ll_0065,Mike Perez,p5_fewshot,ez,ez,stop,1
330,ll_0066,Rachel Guerrero,p1_format,lo,lo,stop,1
331,ll_0066,Rachel Guerrero,p1_format_soft,lo,lo,stop,1
332,ll_0066,Rachel Guerrero,p2_complexity,lo,lo,stop,1
333,ll_0066,Rachel Guerrero,p4_role,lo,lo,stop,1
334,ll_0066,Rachel Guerrero,p5_fewshot,lo,lo,stop,1
335,ll_0067,Ryan Silva,p1_format,na,na,stop,1
336,ll_0067,Ryan Silva,p1_format_soft,na,na,stop,1
337,ll_0067,Ryan Silva,p2_complexity,na,na,stop,1
338,ll_0067,Ryan Silva,p4_role,na,na,stop,1
339,ll_0067,Ryan Silva,p5_fewshot,na,na,stop,1
340,ll_0068,Rachel Castro,p1_format,lo,lo,stop,1
341,ll_0068,Rachel Castro,p1_format_soft,lo,lo,stop,1
342,ll_0068,Rachel Castro,p2_complexity,lo,lo,stop,1
343,ll_0068,Rachel Castro,p4_role,lo,lo,stop,1
344,ll_0068,Rachel Castro,p5_fewshot,lo,lo,stop,1
345,ll_0069,Brian Castro,p1_format,no,no,stop,1
346,ll_0069,Brian Castro,p1_format_soft,no,no,stop,1
347,ll_0069,Brian Castro,p2_complexity,no,no,stop,1
348,ll_0069,Brian Castro,p4_role,no,no,stop,1
349,ll_0069,Brian Castro,p5_fewshot,no,no,stop,1
350,ll_0070,Jennifer Estrada,p1_format,ra,ra,stop,1
351,ll_0070,Jennifer Estrada,p1_format_soft,ra,ra,stop,1
352,ll_0070,Jennifer Estrada,p2_complexity,ra,ra,stop,1
353,ll_0070,Jennifer Estrada,p4_role,ra,ra,stop,1
354,ll_0070,Jennifer Estrada,p5_fewshot,ra,ra,stop,1
355,ll_0071,Anthony Gonzales,p1_format,ys,ys,stop,1
356,ll_0071,Anthony Gonzales,p1_format_soft,ys,ys,stop,1
357,ll_0071,Anthony Gonzales,p2_complexity,ys,ys,stop,1
358,ll_0071,Anthony Gonzales,p4_role,ys,ys,stop,1
359,ll_0071,Anthony Gonzales,p5_fewshot,ys,ys,stop,1
360,ll_0072,Sandra Lopez,p1_format,az,ap,stop,0
361,ll_0072,Sandra Lopez,p1_format_soft,az,az,stop,1
362,ll_0072,Sandra Lopez,p2_complexity,az,az,stop,1
363,ll_0072,Sandra Lopez,p4_role,az,az,stop,1
364,ll_0072,Sandra Lopez,p5_fewshot,az,az,stop,1
365,ll_0073,Anna Medina,p1_format,aa,aa,stop,1
366,ll_0073,Anna Medina,p1_format_soft,aa,aa,stop,1
367,ll_0073,Anna Medina,p2_complexity,aa,aa,stop,1
368,ll_0073,Anna Medina,p4_role,aa,aa,stop,1
369,ll_0073,Anna Medina,p5_fewshot,aa,aa,stop,1
370,ll_0074,Kevin Ortiz,p1_format,nz,nz,stop,1
371,ll_0074,Kevin Ortiz,p1_format_soft,nz,nz,stop,1
372,ll_0074,Kevin Ortiz,p2_complexity,nz,nz,stop,1
373,ll_0074,Kevin Ortiz,p4_role,nz,nz,stop,1
374,ll_0074,Kevin Ortiz,p5_fewshot,nz,nz,stop,1
375,ll_0075,Christopher Scott,p1_format,rt,rt,stop,1
376,ll_0075,Christopher Scott,p1_format_soft,rt,rt,stop,1
377,ll_0075,Christopher Scott,p2_complexity,rt,rt,stop,1
378,ll_0075,Christopher Scott,p4_role,rt,rt,stop,1
379,ll_0075,Christopher Scott,p5_fewshot,rt,rt,stop,1
380,ll_0076,Katie Rios,p1_format,es,es,stop,1
381,ll_0076,Katie Rios,p1_format_soft,es,es,stop,1
382,ll_0076,Katie Rios,p2_complexity,es,es,stop,1
383,ll_0076,Katie Rios,p4_role,es,es,stop,1
384,ll_0076,Katie Rios,p5_fewshot,es,es,stop,1
385,ll_0077,Brian White,p1_format,ne,ne,stop,1
386,ll_0077,Brian White,p1_format_soft,ne,ne,stop,1
387,ll_0077,Brian White,p2_complexity,ne,ne,stop,1
388,ll_0077,Brian White,p4_role,ne,ne,stop,1
389,ll_0077,Brian White,p5_fewshot,ne,ne,stop,1
390,ll_0078,Karen Brown,p1_format,nn,nn,stop,1
391,ll_0078,Karen Brown,p1_format_soft,nn,nn,stop,1
392,ll_0078,Karen Brown,p2_complexity,nn,nn,stop,1
393,ll_0078,Karen Brown,p4_role,nn,nn,stop,1
394,ll_0078,Karen Brown,p5_fewshot,nn,nn,stop,1
395,ll_0079,Luis White,p1_format,se,se,stop,1
396,ll_0079,Luis White,p1_format_soft,se,se,stop,1
397,ll_0079,Luis White,p2_complexity,se,se,stop,1
398,ll_0079,Luis White,p4_role,se,se,stop,1
399,ll_0079,Luis White,p5_fewshot,se,se,stop,1
400,ll_0080,Antonio Sanchez,p1_format,oz,oz,stop,1
401,ll_0080,Antonio Sanchez,p1_format_soft,oz,oz,stop,1
402,ll_0080,Antonio Sanchez,p2_complexity,oz,oz,stop,1
403,ll_0080,Antonio Sanchez,p4_role,oz,oz,stop,1
404,ll_0080,Antonio Sanchez,p5_fewshot,oz,oz,stop,1
405,ll_0081,Jessica Walker,p1_format,ar,ar,stop,1
406,ll_0081,Jessica Walker,p1_format_soft,ar,ar,stop,1
407,ll_0081,Jessica Walker,p2_complexity,ar,ar,stop,1
408,ll_0081,Jessica Walker,p4_role,ar,ar,stop,1
409,ll_0081,Jessica Walker,p5_fewshot,ar,ar,stop,1
410,ll_0082,Kelly Rios,p1_format,ys,ys,stop,1
411,ll_0082,Kelly Rios,p1_format_soft,ys,ys,stop,1
412,ll_0082,Kelly Rios,p2_complexity,ys,ys,stop,1
413,ll_0082,Kelly Rios,p4_role,ys,ys,stop,1
414,ll_0082,Kelly Rios,p5_fewshot,ys,ys,stop,1
415,ll_0083,Diana Ortiz,p1_format,az,az,stop,1
416,ll_0083,Diana Ortiz,p1_format_soft,az,az,stop,1
