custom_id,question_id,arc_id,answerKey,predicted,correct,parse_method,raw_response
118,118,Mercury_415086,D,D,1,heuristic,D
119,119,Mercury_7228725,C,C,1,heuristic,C
120,120,Mercury_7201740,A,A,1,heuristic,A
121,121,NYSEDREGENTS_2010_4_4,A,A,1,heuristic,A
122,122,MEAP_2005_8_21,D,D,1,heuristic,D
123,123,Mercury_7026355,A,A,1,heuristic,A
124,124,Mercury_7249708,B,B,1,heuristic,B
125,125,Mercury_7107170,D,D,1,heuristic,D
126,126,Mercury_183820,A,A,1,heuristic,A
127,127,Mercury_SC_401357,B,B,1,heuristic,B
128,128,NYSEDREGENTS_2008_8_11,D,D,1,heuristic,D
129,129,Mercury_416650,C,C,1,heuristic,C
130,130,NCEOGA_2013_5_20,B,B,1,heuristic,B
131,131,Mercury_400500,C,C,1,heuristic,C
132,132,Mercury_SC_401366,D,D,1,heuristic,D
133,133,Mercury_7141610,B,B,1,heuristic,B
134,134,Mercury_7247013,B,B,1,heuristic,B
135,135,NYSEDREGENTS_2008_8_30,B,B,1,heuristic,B
136,136,ACTAAP_2011_5_16,B,B,1,heuristic,B
137,137,Mercury_7093153,B,B,1,heuristic,B
138,138,Mercury_7013965,A,A,1,heuristic,A
139,139,Mercury_7034843,B,A,0,heuristic,A
140,140,Mercury_SC_407610,D,D,1,heuristic,D
141,141,Mercury_405947,C,C,1,heuristic,C
142,142,AKDE&ED_2012_8_6,A,A,1,heuristic,A
143,143,Mercury_7011130,A,A,1,heuristic,A
144,144,Mercury_LBS11022,A,A,1,heuristic,A
145,145,TIMSS_1995_8_J1,C,C,1,heuristic,C
146,146,Mercury_SC_408366,B,B,1,heuristic,B
147,147,Mercury_7009993,A,A,1,heuristic,A
148,148,Mercury_401699,C,C,1,heuristic,C
149,149,Mercury_7056858,A,A,1,heuristic,A
150,150,Mercury_7027160,C,C,1,heuristic,C
151,151,Mercury_400811,D,D,1,heuristic,D
152,152,Mercury_SC_400062,D,D,1,heuristic,D
153,153,Mercury_400699,B,B,1,heuristic,B
154,154,Mercury_7029803,B,B,1,heuristic,B
155,155,Mercury_SC_401372,D,D,1,heuristic,D
156,156,Mercury_7271128,C,C,1,heuristic,C
157,157,Mercury_407260,B,B,1,heuristic,B
158,158,Mercury_SC_416155,C,C,1,heuristic,C
159,159,Mercury_402145,B,B,1,heuristic,B
160,160,AIMS_2009_4_5,A,A,1,heuristic,A
161,161,TIMSS_2003_4_pg7,D,D,1,heuristic,D
162,162,Mercury_7142415,A,A,1,heuristic,A
163,163,Mercury_7212818,B,B,1,heuristic,B
164,164,Mercury_SC_413299,A,A,1,heuristic,A
165,165,Mercury_7132020,A,A,1,heuristic,A
166,166,MEA_2014_8_10,C,C,1,heuristic,C
167,167,TIMSS_1995_8_N2,B,B,1,heuristic,B
168,168,Mercury_7024465,A,A,1,heuristic,A
169,169,Mercury_SC_415762,D,D,1,heuristic,D
170,170,Mercury_415093,D,D,1,heuristic,D
171,171,LEAP_2005_8_10404,D,D,1,heuristic,D
172,172,AIMS_2008_8_6,B,B,1,heuristic,B
173,173,Mercury_7057173,D,D,1,heuristic,D
174,174,TIMSS_2007_8_pg60,C,C,1,heuristic,C
175,175,AIMS_2009_8_14,A,A,1,heuristic,A
176,176,Mercury_185010,A,A,1,heuristic,A
177,177,Mercury_7206938,A,A,1,heuristic,A
178,178,Mercury_402501,B,B,1,heuristic,B
179,179,MCAS_2011_8_15365,C,C,1,heuristic,C
180,180,Mercury_SC_401766,A,A,1,heuristic,A
181,181,Mercury_7162400,D,D,1,heuristic,D
182,182,Mercury_7086695,C,,-1,empty,
183,183,Mercury_SC_402994,C,C,1,heuristic,C
184,184,Mercury_7056298,A,A,1,heuristic,A
185,185,Mercury_409115,C,C,1,heuristic,C
186,186,Mercury_409647,D,D,1,heuristic,D
187,187,Mercury_414352,A,A,1,heuristic,A
188,188,Mercury_185325,C,C,1,heuristic,C
189,189,Mercury_SC_412374,C,D,0,heuristic,D
190,190,Mercury_SC_401818,C,D,0,heuristic,D
191,191,Mercury_SC_413549,B,B,1,heuristic,B
192,192,Mercury_7093958,A,A,1,heuristic,A
193,193,Mercury_7102323,D,D,1,heuristic,D
194,194,Mercury_7222793,B,B,1,heuristic,B
195,195,Mercury_SC_400701,A,A,1,heuristic,A
196,196,Mercury_409301,B,B,1,heuristic,B
197,197,Mercury_SC_400383,C,C,1,heuristic,C
198,198,CSZ_2005_5_CSZ10021,B,B,1,heuristic,B
199,199,Mercury_SC_407070,B,B,1,heuristic,B
200,200,Mercury_SC_400708,C,C,1,heuristic,C
201,201,Mercury_7075040,C,C,1,heuristic,C
202,202,Mercury_7137165,A,A,1,heuristic,A
203,203,Mercury_SC_400046,B,B,1,heuristic,B
204,204,Mercury_7099330,D,C,0,heuristic,C
205,205,MDSA_2007_5_2,C,C,1,heuristic,C
206,206,Mercury_7271758,B,B,1,heuristic,B
207,207,MCAS_2003_8_31,C,C,1,heuristic,C
208,208,AKDE&ED_2008_8_53,C,C,1,heuristic,C
209,209,TIMSS_2007_8_pg109,C,C,1,heuristic,C
210,210,Mercury_175385,C,C,1,heuristic,C
211,211,Mercury_410669,D,D,1,heuristic,D
212,212,MEAP_2005_8_39,C,C,1,heuristic,C
213,213,Mercury_SC_408568,B,B,1,heuristic,B
214,214,AKDE&ED_2008_8_7,B,B,1,heuristic,B
215,215,Mercury_7082845,B,B,1,heuristic,B
216,216,Mercury_SC_405726,D,D,1,heuristic,D
217,217,Mercury_SC_415407,A,A,1,heuristic,A
218,218,Mercury_SC_401792,C,C,1,heuristic,C
219,219,LEAP_2000_8_4,B,B,1,heuristic,B
220,220,Mercury_SC_413439,A,A,1,heuristic,A
221,221,ACTAAP_2014_7_13,B,B,1,heuristic,B
222,222,Mercury_SC_402638,A,C,0,heuristic,C
223,223,Mercury_SC_406725,A,A,1,heuristic,A
224,224,NYSEDREGENTS_2015_4_29,A,A,1,heuristic,A
225,225,Mercury_406136,A,A,1,heuristic,A
226,226,MSA_2012_5_23,C,C,1,heuristic,C
227,227,Mercury_405873,B,B,1,heuristic,B
228,228,Mercury_7043820,B,B,1,heuristic,B
229,229,MCAS_2005_5_34,B,B,1,heuristic,B
230,230,Mercury_7182245,D,D,1,heuristic,D
231,231,MSA_2012_8_30,A,A,1,heuristic,A
232,232,Mercury_7252753,A,A,1,heuristic,A
233,233,TAKS_2009_8_36,B,B,1,heuristic,B
234,234,Mercury_SC_415473,C,C,1,heuristic,C
235,235,Mercury_SC_413624,B,B,1,heuristic,B
236,236,Mercury_7016800,D,D,1,heuristic,D
237,237,Mercury_SC_407228,D,D,1,heuristic,D
238,238,Mercury_414504,B,B,1,heuristic,B
239,239,TIMSS_2011_4_pg27,A,A,1,heuristic,A
240,240,Mercury_SC_402029,D,D,1,heuristic,D
241,241,Mercury_7131845,C,C,1,heuristic,C
242,242,Mercury_SC_405533,B,B,1,heuristic,B
243,243,Mercury_7086748,A,A,1,heuristic,A
244,244,MDSA_2007_8_17,B,B,1,heuristic,B
245,245,Mercury_7210473,C,C,1,heuristic,C
246,246,Mercury_7214340,A,A,1,heuristic,A
247,247,MCAS_2005_9_17,C,C,1,heuristic,C
248,248,MEA_2016_8_12,B,B,1,heuristic,B
249,249,Mercury_SC_401278,B,B,1,heuristic,B
250,250,Mercury_SC_407689,D,D,1,heuristic,D
251,251,Mercury_7230405,B,B,1,heuristic,B
252,252,Mercury_SC_405640,A,A,1,heuristic,A
253,253,Mercury_7201775,D,D,1,heuristic,D
254,254,Mercury_7177398,D,,-1,empty,
255,255,Mercury_7041423,A,A,1,heuristic,A
256,256,Mercury_7004743,D,D,1,heuristic,D
257,257,Mercury_7198468,A,A,1,heuristic,A
258,258,MEA_2014_5_11,C,C,1,heuristic,C
259,259,Mercury_410602,A,A,1,heuristic,A
260,260,Mercury_7108868,C,C,1,heuristic,C
261,261,Mercury_7033828,D,D,1,heuristic,D
262,262,TIMSS_2007_4_pg19,A,A,1,heuristic,A
263,263,Mercury_400828,D,D,1,heuristic,D
264,264,VASoL_2008_3_16,B,B,1,heuristic,B
265,265,LEAP__5_10315,C,C,1,heuristic,C
266,266,Mercury_SC_415471,A,A,1,heuristic,A
267,267,Mercury_7247065,C,C,1,heuristic,C
268,268,MDSA_2011_5_3,B,B,1,heuristic,B
269,269,MDSA_2009_5_39,C,C,1,heuristic,C
270,270,Mercury_187198,C,C,1,heuristic,C
271,271,MCAS_2000_4_36,A,A,1,heuristic,A
272,272,Mercury_184100,C,C,1,heuristic,C
273,273,Mercury_LBS10814,B,B,1,heuristic,B
274,274,Mercury_SC_408384,B,B,1,heuristic,B
275,275,Mercury_7043068,D,D,1,heuristic,D
276,276,Mercury_411071,B,B,1,heuristic,B
277,277,NYSEDREGENTS_2010_4_24,B,B,1,heuristic,B
278,278,Mercury_SC_409673,D,D,1,heuristic,D
279,279,Mercury_SC_400374,B,B,1,heuristic,B
280,280,CSZ_2009_8_CSZ20740,B,B,1,heuristic,B
281,281,Mercury_SC_406482,D,D,1,heuristic,D
282,282,OHAT_2007_8_24,A,A,1,heuristic,A
283,283,Mercury_188335,B,B,1,heuristic,B
284,284,Mercury_7128555,B,B,1,heuristic,B
285,285,Mercury_407517,C,C,1,heuristic,C
286,286,Mercury_405950,C,C,1,heuristic,C
287,287,MCAS_2004_9_5,C,C,1,heuristic,C
288,288,NCEOGA_2013_8_28,B,B,1,heuristic,B
289,289,Mercury_SC_406451,C,C,1,heuristic,C
290,290,Mercury_7109323,D,D,1,heuristic,D
291,291,Mercury_404132,B,B,1,heuristic,B
292,292,Mercury_7210210,C,C,1,heuristic,C
293,293,Mercury_SC_408042,B,B,1,heuristic,B
294,294,MCAS_2004_8_14,C,C,1,heuristic,C
295,295,TIMSS_2011_4_pg5,B,B,1,heuristic,B
296,296,Mercury_SC_406833,C,C,1,heuristic,C
297,297,Mercury_7029558,C,C,1,heuristic,C
298,298,Mercury_7138390,B,B,1,heuristic,B
299,299,MEAP_2005_5_12,A,A,1,heuristic,A
300,300,MCAS_2000_4_30,D,D,1,heuristic,D
301,301,MCAS_1998_4_12,C,C,1,heuristic,C
302,302,Mercury_175840,B,B,1,heuristic,B
303,303,Mercury_7099190,C,C,1,heuristic,C
304,304,Mercury_SC_401605,A,A,1,heuristic,A
305,305,TAKS_2009_5_36,A,A,1,heuristic,A
306,306,Mercury_7171570,D,D,1,heuristic,D
307,307,Mercury_SC_402057,C,C,1,heuristic,C
308,308,Mercury_SC_413628,C,C,1,heuristic,C
309,309,Mercury_LBS10131,C,C,1,heuristic,C
310,310,Mercury_7032428,B,B,1,heuristic,B
311,311,Mercury_7025008,A,A,1,heuristic,A
312,312,MEA_2011_8_19,D,D,1,heuristic,D
313,313,NYSEDREGENTS_2008_8_27,C,C,1,heuristic,C
314,314,VASoL_2007_5_22,B,B,1,heuristic,B
315,315,NCEOGA_2013_5_19,A,A,1,heuristic,A
316,316,Mercury_7037555,C,C,1,heuristic,C
317,317,Mercury_402132,B,B,1,heuristic,B
318,318,MCAS_2006_8_24,A,A,1,heuristic,A
319,319,Mercury_7128923,B,D,0,heuristic,D
320,320,Mercury_416379,A,A,1,heuristic,A
321,321,Mercury_7168053,C,C,1,heuristic,C
322,322,AKDE&ED_2008_8_1,A,A,1,heuristic,A
323,323,Mercury_SC_415476,B,B,1,heuristic,B
324,324,Mercury_7106960,A,A,1,heuristic,A
325,325,Mercury_7160563,C,C,1,heuristic,C
326,326,Mercury_7068583,B,B,1,heuristic,B
327,327,Mercury_404638,D,D,1,heuristic,D
328,328,Mercury_SC_407138,A,A,1,heuristic,A
329,329,MCAS_2000_4_10,D,D,1,heuristic,D
330,330,Mercury_177748,D,B,0,heuristic,B
331,331,MCAS_2004_9_21-v1,C,C,1,heuristic,C
332,332,MDSA_2007_5_16,A,A,1,heuristic,A
333,333,Mercury_401763,B,B,1,heuristic,B
334,334,Mercury_7268118,C,C,1,heuristic,C
335,335,Mercury_403232,D,D,1,heuristic,D
336,336,Mercury_415081,A,A,1,heuristic,A
337,337,Mercury_7206378,B,B,1,heuristic,B
338,338,CSZ30169,A,A,1,heuristic,A
339,339,Mercury_7013948,D,D,1,heuristic,D
340,340,Mercury_SC_402164,C,C,1,heuristic,C
341,341,Mercury_400880,C,C,1,heuristic,C
342,342,Mercury_7040793,B,B,1,heuristic,B
343,343,MDSA_2010_5_29,D,D,1,heuristic,D
344,344,LEAP__8_10365,A,A,1,heuristic,A
345,345,Mercury_SC_401295,B,B,1,heuristic,B
346,346,MCAS_2012_5_23625,C,C,1,heuristic,C
347,347,Mercury_7268048,C,C,1,heuristic,C
348,348,Mercury_SC_402629,A,A,1,heuristic,A
349,349,NCEOGA_2013_8_42,D,D,1,heuristic,D
350,350,Mercury_412463,D,D,1,heuristic,D
351,351,Mercury_409295,B,B,1,heuristic,B
352,352,Mercury_404609,D,D,1,heuristic,D
353,353,Mercury_7230090,C,C,1,heuristic,C
354,354,Mercury_7057488,D,D,1,heuristic,D
355,355,MDSA_2009_4_1,D,D,1,heuristic,D
356,356,Mercury_7150728,A,A,1,heuristic,A
357,357,Mercury_402207,B,B,1,heuristic,B
358,358,Mercury_411732,D,D,1,heuristic,D
359,359,Mercury_7270113,C,C,1,heuristic,C
360,360,AKDE&ED_2008_8_3,B,B,1,heuristic,B
361,361,MCAS_1999_8_1,A,A,1,heuristic,A
362,362,NYSEDREGENTS_2015_4_24,C,C,1,heuristic,C
363,363,Mercury_7122640,A,A,1,heuristic,A
364,364,Mercury_402547,C,C,1,heuristic,C
365,365,Mercury_7133945,B,B,1,heuristic,B
366,366,Mercury_7199028,B,B,1,heuristic,B
367,367,Mercury_7217298,A,A,1,heuristic,A
368,368,Mercury_7057680,C,C,1,heuristic,C
369,369,Mercury_SC_400404,D,D,1,heuristic,D
370,370,Mercury_SC_408030,A,A,1,heuristic,A
371,371,Mercury_415083,B,B,1,heuristic,B
372,372,Mercury_409114,B,B,1,heuristic,B
373,373,Mercury_SC_415006,A,A,1,heuristic,A
374,374,MSA_2012_5_15,C,C,1,heuristic,C
375,375,Mercury_SC_402612,D,D,1,heuristic,D
376,376,Mercury_SC_405937,B,B,1,heuristic,B
377,377,Mercury_SC_416459,C,C,1,heuristic,C
378,378,NAEP_2000_8_S21+4,C,C,1,heuristic,C
379,379,Mercury_7072380,B,B,1,heuristic,B
380,380,Mercury_SC_401373,A,A,1,heuristic,A
381,381,Mercury_SC_400579,C,C,1,heuristic,C
382,382,MCAS_2003_5_14,C,C,1,heuristic,C
383,383,MSA_2015_8_30,A,A,1,heuristic,A
384,384,Mercury_SC_415416,C,C,1,heuristic,C
385,385,NYSEDREGENTS_2012_8_42,B,B,1,heuristic,B
386,386,NCEOGA_2013_5_9,B,B,1,heuristic,B
387,387,MEAP_2005_8_45,D,D,1,heuristic,D
388,388,Mercury_SC_400594,D,D,1,heuristic,D
389,389,NCEOGA_2013_8_43,A,A,1,heuristic,A
390,390,MCAS_2006_8_13,C,C,1,heuristic,C
391,391,Mercury_7168823,D,D,1,heuristic,D
392,392,Mercury_7158935,C,C,1,heuristic,C
393,393,Mercury_7172708,B,D,0,heuristic,D
394,394,ACTAAP_2010_5_1,A,A,1,heuristic,A
395,395,Mercury_7093048,C,C,1,heuristic,C
396,396,Mercury_7081603,C,C,1,heuristic,C
397,397,Mercury_SC_LBS11003,D,D,1,heuristic,D
398,398,MCAS_2005_8_2,C,C,1,heuristic,C
399,399,ACTAAP_2010_7_14,C,C,1,heuristic,C
400,400,NYSEDREGENTS_2008_4_15,C,C,1,heuristic,C
401,401,Mercury_7107240,A,A,1,heuristic,A
402,402,Mercury_7218628,C,C,1,heuristic,C
403,403,MSA_2013_5_23,D,D,1,heuristic,D
404,404,Mercury_7081725,A,A,1,heuristic,A
405,405,Mercury_SC_413542,A,A,1,heuristic,A
406,406,Mercury_SC_407302,C,C,1,heuristic,C
407,407,Mercury_175053,D,D,1,heuristic,D
408,408,Mercury_7161315,B,B,1,heuristic,B
409,409,Mercury_189070,A,A,1,heuristic,A
410,410,Mercury_7189123,B,B,1,heuristic,B
411,411,Mercury_SC_402171,D,D,1,heuristic,D
412,412,Mercury_7217368,B,B,1,heuristic,B
413,413,Mercury_LBS10933,A,A,1,heuristic,A
414,414,Mercury_7223160,C,C,1,heuristic,C
415,415,Mercury_SC_401324,D,D,1,heuristic,D
416,416,LEAP_2001_8_10379,A,A,1,heuristic,A
417,417,VASoL_2009_5_30,D,D,1,heuristic,D
418,418,Mercury_416404,D,D,1,heuristic,D
419,419,Mercury_7103530,B,B,1,heuristic,B
420,420,Mercury_7030870,A,A,1,heuristic,A
421,421,LEAP__7_10348,C,C,1,heuristic,C
422,422,Mercury_SC_406835,B,B,1,heuristic,B
423,423,Mercury_178255,B,B,1,heuristic,B
424,424,MDSA_2012_8_16,B,B,1,heuristic,B
425,425,Mercury_409645,D,D,1,heuristic,D
426,426,TIMSS_2003_8_pg47,C,C,1,heuristic,C
427,427,NYSEDREGENTS_2010_8_16,B,B,1,heuristic,B
428,428,Mercury_7159810,B,B,1,heuristic,B
429,429,Mercury_7267523,B,B,1,heuristic,B
430,430,Mercury_SC_401006,A,A,1,heuristic,A
431,431,ACTAAP_2010_7_12,D,D,1,heuristic,D
432,432,MEAP_2005_8_13,D,D,1,heuristic,D
433,433,Mercury_7164623,C,C,1,heuristic,C
434,434,Mercury_417127,A,A,1,heuristic,A
435,435,Mercury_411224,B,B,1,heuristic,B
436,436,TIMSS_2011_8_pg15,D,D,1,heuristic,D
437,437,NYSEDREGENTS_2012_8_19,C,C,1,heuristic,C
438,438,Mercury_7222460,A,A,1,heuristic,A
439,439,Mercury_7007420,C,C,1,heuristic,C
440,440,Mercury_SC_405710,D,D,1,heuristic,D
441,441,Mercury_SC_401375,C,A,0,heuristic,A
442,442,VASoL_2010_3_22,A,A,1,heuristic,A
443,443,Mercury_SC_408358,A,A,1,heuristic,A
444,444,NYSEDREGENTS_2013_8_42,B,B,1,heuristic,B
445,445,Mercury_SC_400661,D,D,1,heuristic,D
446,446,Mercury_SC_415422,C,C,1,heuristic,C
447,447,Mercury_SC_400162,D,D,1,heuristic,D
448,448,Mercury_7212328,B,B,1,heuristic,B
449,449,NCEOGA_2013_8_26,D,D,1,heuristic,D
450,450,Mercury_SC_407696,B,B,1,heuristic,B
451,451,Mercury_SC_400052,B,B,1,heuristic,B
452,452,Mercury_7212870,D,B,0,heuristic,B
453,453,NYSEDREGENTS_2010_8_35,C,C,1,heuristic,C
454,454,MCAS_2010_8_12005,A,A,1,heuristic,A
455,455,Mercury_7218505,B,B,1,heuristic,B
456,456,Mercury_SC_400853,D,D,1,heuristic,D
457,457,Mercury_7210455,C,C,1,heuristic,C
458,458,Mercury_7174738,C,C,1,heuristic,C
459,459,MCAS_2001_5_2,D,D,1,heuristic,D
460,460,NYSEDREGENTS_2012_4_9,A,A,1,heuristic,A
461,461,Mercury_416593,B,B,1,heuristic,B
462,462,Mercury_7205870,B,B,1,heuristic,B
463,463,Mercury_SC_401798,C,C,1,heuristic,C
464,464,Mercury_7084228,D,D,1,heuristic,D
465,465,Mercury_417460,A,D,0,heuristic,D
466,466,Mercury_402539,B,B,1,heuristic,B
467,467,Mercury_406800,B,B,1,heuristic,B
468,468,Mercury_SC_408321,A,A,1,heuristic,A
469,469,Mercury_SC_406836,C,C,1,heuristic,C
470,470,Mercury_SC_410963,D,D,1,heuristic,D
471,471,Mercury_7132405,D,D,1,heuristic,D
472,472,Mercury_SC_408872,C,C,1,heuristic,C
473,473,VASoL_2008_3_25,B,B,1,heuristic,B
474,474,WASL_2005_8_12,A,A,1,heuristic,A
475,475,AKDE&ED_2012_8_20,B,B,1,heuristic,B
476,476,Mercury_7056823,B,B,1,heuristic,B
477,477,Mercury_7205800,B,B,1,heuristic,B
478,478,Mercury_SC_402282,A,A,1,heuristic,A
479,479,MCAS_1998_8_26,C,C,1,heuristic,C
480,480,Mercury_7230318,D,D,1,heuristic,D
481,481,Mercury_SC_416167,C,C,1,heuristic,C
482,482,Mercury_7027720,B,B,1,heuristic,B
483,483,LEAP__5_10312,B,B,1,heuristic,B
484,484,Mercury_405161,D,D,1,heuristic,D
485,485,Mercury_SC_409245,D,D,1,heuristic,D
486,486,ACTAAP_2011_5_8,C,C,1,heuristic,C
487,487,Mercury_7223370,D,D,1,heuristic,D
488,488,Mercury_SC_400697,B,B,1,heuristic,B
489,489,Mercury_SC_401262,D,D,1,heuristic,D
490,490,Mercury_7136063,B,B,1,heuristic,B
491,491,Mercury_405876,D,,-1,empty,
492,492,Mercury_7057890,A,A,1,heuristic,A
493,493,LEAP_2002_4_10247,B,B,1,heuristic,B
494,494,Mercury_SC_405481,C,C,1,heuristic,C
495,495,Mercury_SC_400401,B,B,1,heuristic,B
496,496,Mercury_7064260,B,B,1,heuristic,B
497,497,Mercury_7015995,B,B,1,heuristic,B
498,498,Mercury_400887,B,B,1,heuristic,B
499,499,Mercury_7247678,A,A,1,heuristic,A
500,500,MDSA_2007_8_24,C,C,1,heuristic,C
501,501,AKDE&ED_2008_8_48,A,A,1,heuristic,A
502,502,Mercury_401014,C,C,1,heuristic,C
503,503,Mercury_7106698,A,A,1,heuristic,A
504,504,Mercury_7143308,B,B,1,heuristic,B
505,505,MCAS_2005_9_21,B,B,1,heuristic,B
