custom_id,unique_id,text,label,gold,predicted,finish_reason,correct
22,mf_0022,Key findings from the global Oil and Gas industry,Industry,D,D,stop,1
23,mf_0023,Environmental stewardship,Business & Management,A,A,stop,1
24,mf_0024,Q&A What is blockchain?,Technology,F,F,stop,1
25,mf_0025,Winners of the Healthy Sense Award have been announced,Industry,D,A,stop,0
26,mf_0026,I Fintech and you? and you? and you? and you?,Finance,B,F,stop,0
27,mf_0027,SAP Centre of Excellence,Technology,F,F,stop,1
28,mf_0028,"IFRS news, August 2017",Tax & Accounting,E,E,stop,1
29,mf_0029,PwC to drive security and compliance with new cybersecurity suite,Technology,F,F,stop,1
30,mf_0030,The New Class of Digital Leaders,Technology,F,F,stop,1
31,mf_0031,Healthcare providers must create agile digital architecture,Industry,D,F,stop,0
32,mf_0032,COVID-19,Industry,D,C,stop,0
33,mf_0033,"Type of deal: Debt advisory Sector: Energy
",Industry,D,B,stop,0
34,mf_0034,Linking ESG to financing and investment activities,Business & Management,A,B,stop,0
35,mf_0035,Government/Public Services,Government & Controls,C,C,stop,1
36,mf_0036,Ethics & Compliance Management,Government & Controls,C,C,stop,1
37,mf_0037,Hospitality Industry,Industry,D,D,stop,1
38,mf_0038,Greek real estate taxation: a brief summary 2019,Industry,D,E,stop,0
39,mf_0039,Tax and legal news 4 May 2017,Tax & Accounting,E,E,stop,1
40,mf_0040,Digital Forensics and Data Analytics Solutions,Government & Controls,C,F,stop,0
41,mf_0041,"Family, country, and community': Giving something back in South Africa: Global Family Business Survey 2016: PwC",Business & Management,A,A,stop,1
42,mf_0042,"Tax and legal news, April 2019 ",Tax & Accounting,E,E,stop,1
43,mf_0043,IT Applications and Software Consulting - not as straightforward as it used to be,Technology,F,F,stop,1
44,mf_0044,Worldwide Tax Summaries 2018/2019,Tax & Accounting,E,E,stop,1
45,mf_0045,Forensic Services,Government & Controls,C,E,stop,0
46,mf_0046,Deal summary Coreplast Laitila Oy,Finance,B,A,stop,0
47,mf_0047,Cédric Nidecker: Intrapreneur to the rescue,Business & Management,A,A,stop,1
48,mf_0048,PwC at Mobile World Congress 2018,Technology,F,F,stop,1
49,mf_0049,Consumers ready to embrace AI and robots for their healthcare needs,Industry,D,F,stop,0
50,mf_0050,FinTech’s growing influence on Financial Services,Finance,B,F,stop,0
51,mf_0051,Tax Services,Tax & Accounting,E,E,stop,1
52,mf_0052,PwC to double CEE Cybersecurity team to 500,Technology,F,F,stop,1
53,mf_0053,Total Retail 2017,Industry,D,D,stop,1
54,mf_0054,Transaction Services,Finance,B,B,stop,1
55,mf_0055,Changes to tax reporting digitalisation landscape during COVID-19,Tax & Accounting,E,E,stop,1
56,mf_0056,Deal summary Family Piri / Ruukki Construction,Finance,B,B,stop,1
57,mf_0057,2019 Risk in Review Study,Government & Controls,C,B,stop,0
58,mf_0058,The sweet smell of success: Innovation and internationalisation in France: Global Family Business Survey 2016: PwC,Business & Management,A,A,stop,1
59,mf_0059,Deal summary Mankkaan Taksi Oy / Cabonline Group,Finance,B,A,stop,0
60,mf_0060,The World in 2050,Government & Controls,C,F,stop,0
61,mf_0061,IFRS disclosure checklist 2012,Tax & Accounting,E,E,stop,1
62,mf_0062,Deal summary Caverion Corporation / Huurre Group Oy,Finance,B,A,stop,0
63,mf_0063,New Chief Data Scientist for PwC Finland,Technology,F,F,stop,1
64,mf_0064,Tax Flash: Incentives for the establishment of Shared Services Centers in Greece,Tax & Accounting,E,E,stop,1
65,mf_0065,European cities hotel forecast,Industry,D,D,stop,1
66,mf_0066,The Global State of Information Security Survey: 2017,Technology,F,F,stop,1
67,mf_0067,Audit and Assurance Services,Tax & Accounting,E,E,stop,1
68,mf_0068,Tech breakthroughs megatrend: how to prepare for its impact,Technology,F,F,stop,1
69,mf_0069,Fit for Growth - Strategy&,Business & Management,A,A,stop,1
70,mf_0070,Global wage projections to 2030,Government & Controls,C,A,stop,0
71,mf_0071,Diploma in IFRS by ACCA,Tax & Accounting,E,E,stop,1
72,mf_0072,Asset Management 2020 – A Brave New World,Finance,B,B,stop,1
73,mf_0073,The Healthy Sense Award: applications are now open,Industry,D,A,stop,0
74,mf_0074,Compliance in 2025 - Resilience: A journal of strategy and risk,Government & Controls,C,A,stop,0
75,mf_0075,"Tax and legal news, November 2018",Tax & Accounting,E,E,stop,1
76,mf_0076,Commercial and market due diligence,Finance,B,B,stop,1
77,mf_0077,Retail tax in Poland | Tax provision is legal,Industry,D,E,stop,0
78,mf_0078,Human rights statement,Business & Management,A,C,stop,0
79,mf_0079,Innovation and entrepreneurship,Business & Management,A,A,stop,1
80,mf_0080,PwC's CXO Survey 2018,Business & Management,A,A,stop,1
81,mf_0081,Emerging Markets: Driving the payments transformation,Finance,B,F,stop,0
82,mf_0082,From Przemyśl to premieres: Growing a global brand in Poland: Global Family Business Survey 2016: PwC,Business & Management,A,A,stop,1
83,mf_0083,Companies shifting more R&D spending away from physical products to software and services: 2016 Global Innovation 1000 Study,Business & Management,A,F,stop,0
84,mf_0084,Deal summary Europcar franchises in Finland and Norway / Europcar Mobility Group SA,Finance,B,A,stop,0
85,mf_0085,Creating value beyond the deal: Private Equity,Finance,B,B,stop,1
86,mf_0086,Due diligence,Finance,B,B,stop,1
87,mf_0087,Deal summary Procuritas AB  / Procuritas AB,Finance,B,B,stop,1
88,mf_0088,Central Bank Digital Currency,Finance,B,B,stop,1
89,mf_0089,BEPS Documentation Rules Enacted in Turkey,Tax & Accounting,E,E,stop,1
90,mf_0090,Work in the European Union – taxes and contributions,Business & Management,A,E,stop,0
91,mf_0091,Virtual reality,Technology,F,F,stop,1
92,mf_0092,Tax and legal news 10 March 2016,Tax & Accounting,E,E,stop,1
93,mf_0093,Newspaper publishing,Industry,D,D,stop,1
94,mf_0094,20th CEO Survey: Key findings from the banking and capital markets industry,Finance,B,B,stop,1
95,mf_0095,Felix Kroschke: Transportation transformer,Industry,D,D,stop,1
96,mf_0096,Business Analytics,Technology,F,A,stop,0
97,mf_0097,Retail and consumer,Industry,D,D,stop,1
98,mf_0098,Reputation Management,Business & Management,A,A,stop,1
99,mf_0099,"‘A sense of responsibility’: Family, community and nation in Oman: Global Family Business Survey 2016: PwC",Business & Management,A,A,stop,1
100,mf_0100,Emerging Trends in Real Estate® Europe 2016,Industry,D,D,stop,1
101,mf_0101,PwC rated as a leader in robotic process automation (RPA) service providers in health industries report by independent research firm,Technology,F,F,stop,1
102,mf_0102,Tax Flash: Supreme Administrative Court: The solidarity contribution falls within the scope of DTTs,Tax & Accounting,E,E,stop,1
103,mf_0103,Cybersecurity,Technology,F,F,stop,1
104,mf_0104,European Private Business Survey 2018,Business & Management,A,A,stop,1
105,mf_0105,People Analytics,Business & Management,A,A,stop,1
106,mf_0106,HR Metrics & Analytics,Business & Management,A,A,stop,1
107,mf_0107,Winning through M&A in the next recession,Finance,B,B,stop,1
108,mf_0108,19th Annual Global CEO Survey: Key findings in the insurance sector,Finance,B,D,stop,0
109,mf_0109,C25 by Numbers 2018,Finance,B,B,stop,1
110,mf_0110,Cybersecurity and Privacy,Technology,F,F,stop,1
111,mf_0111,Deal summary Pohjolan Werkonrakennus Oy / Infratek,Finance,B,B,stop,1
112,mf_0112,ESG requirements and reporting,Business & Management,A,B,stop,0
113,mf_0113,Strategic Portfolio Management,Business & Management,A,B,stop,0
114,mf_0114,PwC Greece is an accredited verifier for EU Monitoring Reporting and Verification (EU MRV) for Shipping companies,Industry,D,C,stop,0
115,mf_0115,DAC6: The EU Directive on cross-border tax arrangements,Tax & Accounting,E,E,stop,1
116,mf_0116,2019 Digital Operations study for energy,Industry,D,F,stop,0
117,mf_0117,Deal summary Porvoon Lääkärikeskus and Porvoon Röntgen / Mehiläinen Oy,Finance,B,A,stop,0
118,mf_0118,Creating value beyond the deal: private equity,Finance,B,B,stop,1
119,mf_0119,Blockchain a catalyst for new approaches in insurance,Technology,F,F,stop,1
120,mf_0120,20th CEO Survey: Key findings from the insurance and private pension industry,Finance,B,D,stop,0
121,mf_0121,Central Bank Digital Currency,Finance,B,B,stop,1
122,mf_0122,Winning through M&A in the next recession,Finance,B,B,stop,1
123,mf_0123,Effectively tackling innovation risk helps fuel organisational growth,Business & Management,A,A,stop,1
124,mf_0124,IFRS 15 Revenue from contracts with customers,Tax & Accounting,E,E,stop,1
125,mf_0125,The impact of Brexit on (global) trade,Government & Controls,C,A,stop,0
126,mf_0126,Tax and legal news 24 March 2017,Tax & Accounting,E,E,stop,1
127,mf_0127,Provisions of the simplified APA procedure to be introduced by the end of June 2019,Tax & Accounting,E,E,stop,1
128,mf_0128,Responding to the UK business impacts of COVID-19,Business & Management,A,A,stop,1
129,mf_0129,Industry Collaborative Cloud Market – a young but fast growing market,Technology,F,F,stop,1
130,mf_0130,Startup,Business & Management,A,A,stop,1
131,mf_0131,Draft decrees on the CIT TP form and the CbCR published by Ministry of Finance,Tax & Accounting,E,E,stop,1
132,mf_0132,Strategic planning,Business & Management,A,A,stop,1
133,mf_0133,"India, Fit for Future",Government & Controls,C,B,stop,0
134,mf_0134,Tax - Mergers and acquisitions,Finance,B,E,stop,0
135,mf_0135,Tax and legal news 4 November 2016,Tax & Accounting,E,E,stop,1
136,mf_0136,Accounting advisory,Tax & Accounting,E,E,stop,1
137,mf_0137,Capital Markets 2030,Finance,B,B,stop,1
138,mf_0138,Important changes in PIT taxation of employee incentive programs based on shares and derivatives - announced by the Polish government,Tax & Accounting,E,E,stop,1
139,mf_0139,PwC's COVID-19 CFO Pulse,Business & Management,A,B,stop,0
140,mf_0140,Real Estate 2020,Industry,D,D,stop,1
141,mf_0141,PwC advised funds managed by Aberdeen Standard Investments on a transaction in renewable energy,Finance,B,B,stop,1
142,mf_0142,Transparency and Good Governance,Government & Controls,C,C,stop,1
143,mf_0143,PwC's 22nd CEO Survey - Greek report,Business & Management,A,A,stop,1
144,mf_0144,SAP Lumira and Predictive Analytics,Technology,F,F,stop,1
145,mf_0145,"Tax and legal news, 22 December 2015",Tax & Accounting,E,E,stop,1
146,mf_0146,PwC rated as a leader in robotic process automation (RPA) service providers in health industries report by independent research firm,Technology,F,F,stop,1
147,mf_0147,Budget 2021,Tax & Accounting,E,C,stop,0
148,mf_0148,PwC Tax Forum 2020,Tax & Accounting,E,E,stop,1
149,mf_0149,Strategic supply management,Industry,D,A,stop,0
150,mf_0150,Transaction Services,Finance,B,B,stop,1
151,mf_0151,Tax Flash: Exit taxation - Application details,Tax & Accounting,E,E,stop,1
152,mf_0152,Magazine publishing,Industry,D,D,stop,1
153,mf_0153,PwC named a Leader in the IDC MarketScape for Worldwide Cloud Professional Services 2020,Technology,F,F,stop,1
154,mf_0154,Drive to digital treasury,Tax & Accounting,E,B,stop,0
155,mf_0155,Transaction Services,Finance,B,B,stop,1
156,mf_0156,PwC publishes annual Worldwide Tax Summaries - Corporate Taxes 2017/18,Tax & Accounting,E,E,stop,1
157,mf_0157,Business strategy,Business & Management,A,A,stop,1
158,mf_0158,Smarter Risk Taking: Delivering a AI-Based Risk Information and Decision Management System in the 21st Century,Technology,F,F,stop,1
159,mf_0159,Tax Flash: New Tax Bill - Individuals income taxation,Tax & Accounting,E,E,stop,1
160,mf_0160,Why not delete income tax at all?,Tax & Accounting,E,E,stop,1
161,mf_0161,Cleantech,Industry,D,F,stop,0
162,mf_0162,Mergers & Acquisitions,Finance,B,B,stop,1
163,mf_0163,2020 Global Digital IQ,Technology,F,F,stop,1
164,mf_0164,Global Entertainment & Media Outlook 2019–2023,Industry,D,D,stop,1
165,mf_0165,Retail & Consumer,Industry,D,D,stop,1
166,mf_0166,ALM Intelligence rates PwC a global leader in HR Operations Consulting,Business & Management,A,A,stop,1
167,mf_0167,The human side of crisis,Business & Management,A,A,stop,1
168,mf_0168,@digital #11: Machine Experience,Technology,F,F,stop,1
169,mf_0169,Business transformation is a continuous process,Business & Management,A,A,stop,1
170,mf_0170,CEO optimism booms despite increasing anxiety over threats to growth,Business & Management,A,A,stop,1
171,mf_0171,IFRS 17,Tax & Accounting,E,E,stop,1
172,mf_0172,"Building sustainable, inclusive transportation systems: A framework for the future",Industry,D,D,stop,1
173,mf_0173,Engineering and Construction Industry,Industry,D,D,stop,1
174,mf_0174,Doing Business Globally Spotlight: Brazil,Government & Controls,C,A,stop,0
175,mf_0175,New approach to SAF-T structure for VAT - JPK_VAT corrections rules in 2018,Tax & Accounting,E,E,stop,1
176,mf_0176,Worldwide Tax Summaries,Tax & Accounting,E,E,stop,1
177,mf_0177,Banking and capital markets,Finance,B,B,stop,1
178,mf_0178,PwC and Alpina Publisher have announced publication of the book The Critical Few,Industry,D,A,stop,0
179,mf_0179,IFRS News,Tax & Accounting,E,E,stop,1
180,mf_0180,PwC strengthens its business consulting practice with acquisition of pricing boutique Fern Partners,Finance,B,A,stop,0
181,mf_0181,Asset and Wealth Management confidence high but slow adoption of  technology change could threaten growth,Finance,B,B,stop,1
182,mf_0182,"Tax and legal news, March 2018",Tax & Accounting,E,E,stop,1
183,mf_0183,"Legal Flash: Amendments to the Greek Bankruptcy Code, the Law on the Out-of-Court Work Out Mechanism (OCW) and the Law on Non-Performing Loan Management Companies",Finance,B,B,stop,1
184,mf_0184,Data Analytics,Technology,F,F,stop,1
185,mf_0185,Technology alliances,Technology,F,F,stop,1
186,mf_0186,Logistics and Supply Chain Management,Industry,D,A,stop,0
187,mf_0187,"IFRS news, February 2020",Tax & Accounting,E,E,stop,1
188,mf_0188,Corporate Governance,Government & Controls,C,A,stop,0
189,mf_0189,Countdown to the 2016 Global Family Business Survey,Business & Management,A,A,stop,1
190,mf_0190,M&A Integration - Focus on Financial services,Finance,B,B,stop,1
191,mf_0191,US tax reform,Tax & Accounting,E,E,stop,1
192,mf_0192,Real estate valuation and management,Industry,D,D,stop,1
193,mf_0193,"Industry 4.0 “the Polish way” – where are we, compared to Europe?",Technology,F,D,stop,0
194,mf_0194,Corporate acquisitions - Tax services,Finance,B,E,stop,0
195,mf_0195,IFRS news - March 2017,Tax & Accounting,E,E,stop,1
196,mf_0196,Capital markets: the rise of non-bank infrastructure project finance,Finance,B,B,stop,1
197,mf_0197,Effects of Brexit for British citizens residing and working in Finland,Government & Controls,C,C,stop,1
198,mf_0198,Pharma & Healthcare,Industry,D,D,stop,1
199,mf_0199,Responsible Business Leadership,Business & Management,A,A,stop,1
200,mf_0200,The Budget process as a business growth engine,Business & Management,A,A,stop,1
201,mf_0201,Government Incentive Services Department,Government & Controls,C,C,stop,1
202,mf_0202,HR: Delivering more for less: What sets top performers apart?,Business & Management,A,A,stop,1
203,mf_0203,Deal summary SN4 International Oy / Bisnode Finland Oy,Finance,B,B,stop,1
204,mf_0204,Diversity and inclusion: PwC - Global Annual Review 2020,Business & Management,A,A,stop,1
205,mf_0205,Tax accounting,Tax & Accounting,E,E,stop,1
206,mf_0206,Finnish Tax Authorities’ actions to support companies during the COVID-19 epidemic,Tax & Accounting,E,E,stop,1
207,mf_0207,PwC Named a Leader for Logistics Management Consulting for second consecutive year,Industry,D,A,stop,0
208,mf_0208,Linking ESG to financing and investment activities,Business & Management,A,B,stop,0
209,mf_0209,Internet advertising,Industry,D,F,stop,0
210,mf_0210,Shipping Industry,Industry,D,D,stop,1
211,mf_0211,Global Consumer Insights Survey,Industry,D,A,stop,0
212,mf_0212,Strategy&,Business & Management,A,A,stop,1
213,mf_0213,The rising attractiveness of alternative asset classes for Sovereign Wealth Funds,Finance,B,B,stop,1
214,mf_0214,"Rapidly changing behaviours in 2020 are accelerating consumer embrace of digital, health, and sustainability trends, says PwC",Industry,D,A,stop,0
215,mf_0215,China’s semiconductor industry remains on the upswing,Technology,F,F,stop,1
216,mf_0216,Key English Accelerator - Online Course,Business & Management,A,F,stop,0
217,mf_0217,Playing with the future: PwC’s immersive emerging tech experience,Technology,F,F,stop,1
218,mf_0218,The COVID-19 crisis has accelerated the Digital Transformation across industries and can lead to a wave of consolidation in the TMT sector,Technology,F,D,stop,0
219,mf_0219,The Internet of Things,Technology,F,F,stop,1
220,mf_0220,2016 Family business Survey,Business & Management,A,A,stop,1
221,mf_0221,Cash Flow Statements,Tax & Accounting,E,E,stop,1
222,mf_0222,Internal Controls Advisory,Government & Controls,C,E,stop,0
223,mf_0223,Online Gambler Outlook,Industry,D,D,stop,1
224,mf_0224,Annual report 2016: Creating a technology enabled business transcript,Tax & Accounting,E,B,stop,0
225,mf_0225,Asset management and COVID-19: Emerging stronger from uncertain times,Finance,B,B,stop,1
226,mf_0226,COVID-19: What US business leaders should know,Business & Management,A,A,stop,1
227,mf_0227,Deal summary Investium Group Oy / Titanium Oyj,Finance,B,B,stop,1
228,mf_0228,Legislative compliance,Government & Controls,C,C,stop,1
229,mf_0229,PwC’s Family Office Services: Protecting and structuring your family wealth,Business & Management,A,B,stop,0
230,mf_0230,COSO Enterprise Risk Management–Integrating with Strategy and Performance,Business & Management,A,A,stop,1
231,mf_0231,Candidate assessment,Business & Management,A,A,stop,1
232,mf_0232,New global initiative to help harness technology to tackle environmental issues.,Business & Management,A,F,stop,0
233,mf_0233,Real estate law - what can investors expect in 2018?,Industry,D,C,stop,0
234,mf_0234,Deal summary Valio Oy / Chr.Hansen A/S,Finance,B,A,stop,0
235,mf_0235,Tax and legal news 10 February 2017,Tax & Accounting,E,E,stop,1
236,mf_0236,PwC rated as a Leader in AI Consulting,Technology,F,F,stop,1
237,mf_0237,Business Driven CIO Advisory,Business & Management,A,F,stop,0
238,mf_0238,Building and rebuilding: Managing through change in Australia: Global Family Business Survey 2016: PwC,Business & Management,A,A,stop,1
239,mf_0239,Transportation and Logistics Industry,Industry,D,D,stop,1
240,mf_0240,Employment matters,Business & Management,A,A,stop,1
241,mf_0241,Risk assurance - Cyber security - Manage digital security,Technology,F,F,stop,1
242,mf_0242,Creating value beyond the deal: Technology media & telecommunications,Technology,F,D,stop,0
243,mf_0243,Deals,Finance,B,B,stop,1
244,mf_0244,PwC launches its start-up accelerator program in Warsaw,Business & Management,A,A,stop,1
245,mf_0245,Deal summary Neste Oyj / OFI InfraVia,Finance,B,B,stop,1
246,mf_0246,Strategy and growth,Business & Management,A,A,stop,1
247,mf_0247,Annual report 2016: Our awards,Tax & Accounting,E,A,stop,0
248,mf_0248,Business Recovery Services,Business & Management,A,A,stop,1
249,mf_0249,Bitcoin: PwC,Technology,F,E,stop,0
250,mf_0250,The new European Commission's priorities for 2021-2027,Government & Controls,C,C,stop,1
251,mf_0251,PwC's Global Consumer Insights Survey 2020,Industry,D,A,stop,0
252,mf_0252,FinTech 2017,Finance,B,F,stop,0
253,mf_0253,Workforce of the future: The competing forces shaping 2030,Business & Management,A,A,stop,1
254,mf_0254,2018 State of the Internal Audit Profession Study,Tax & Accounting,E,C,stop,0
255,mf_0255,Financial Reporting and Accounting Advisory Services,Tax & Accounting,E,E,stop,1
256,mf_0256,Deal summary Herrmans Oy Ab,Finance,B,B,stop,1
257,mf_0257,Compensation scheme for self-employed persons - now also for freelancers,Tax & Accounting,E,C,stop,0
258,mf_0258,10 Minutes on the OECD's BEPS project,Tax & Accounting,E,E,stop,1
259,mf_0259,Responding to the potential business impacts of COVID-19,Business & Management,A,A,stop,1
260,mf_0260,19th CEO Survey,Business & Management,A,A,stop,1
261,mf_0261,Energy and Utilities Industry,Industry,D,D,stop,1
262,mf_0262,The financial sector under pressure of change,Finance,B,B,stop,1
263,mf_0263,Mergers & Acquisitions Tax Services,Finance,B,E,stop,0
264,mf_0264,Mergers & Acquisitions Advisory,Finance,B,B,stop,1
265,mf_0265,PwC: Upskilling your workforce should remain a key priority even in an uncertain world,Business & Management,A,A,stop,1
266,mf_0266,Ethics and business conduct,Business & Management,A,A,stop,1
267,mf_0267,The Healthy Sense Award presents the 2020 shortlist of nominees,Industry,D,A,stop,0
268,mf_0268,IFRS 16 Leases,Tax & Accounting,E,E,stop,1
269,mf_0269,The Digital Healthcare Leap,Industry,D,F,stop,0
270,mf_0270,Tax and legal news 7 October 2016,Tax & Accounting,E,E,stop,1
271,mf_0271,"IFRS news, August 2018",Tax & Accounting,E,E,stop,1
272,mf_0272,Insurance,Finance,B,B,stop,1
273,mf_0273,Consumer insights about transport & delivery 2018,Industry,D,D,stop,1
274,mf_0274,Global Consumer Insights Survey 2019,Industry,D,A,stop,0
275,mf_0275,2017 Oil and Gas Trends,Industry,D,D,stop,1
276,mf_0276,The digital transformation,Technology,F,F,stop,1
277,mf_0277,Prepare your SAP for no-deal Brexit,Technology,F,F,stop,1
278,mf_0278,Cybersecurity and Privacy,Technology,F,F,stop,1
279,mf_0279,Success factors: Tech’s appeal in Greece: Global Family Business Survey 2016: PwC,Business & Management,A,F,stop,0
280,mf_0280,Performance assurance services,Tax & Accounting,E,E,stop,1
281,mf_0281,Central Government Reforms: “Transforming Policy to Action”,Government & Controls,C,C,stop,1
282,mf_0282,Auditing and accounting,Tax & Accounting,E,E,stop,1
283,mf_0283,Emerging Trends in Real Estate®: Europe 2018,Industry,D,D,stop,1
284,mf_0284,Deal summary OneMed Group Oy / Megra Oy,Finance,B,B,stop,1
285,mf_0285,Corporate Income Tax,Tax & Accounting,E,E,stop,1
286,mf_0286,Further important changes in income taxes and the Polish Tax Code,Tax & Accounting,E,E,stop,1
287,mf_0287,Actuarial services contact form,Finance,B,B,stop,1
288,mf_0288,Deal summary Mankkaan Taksi Oy / Cabonline Group,Finance,B,A,stop,0
289,mf_0289,Fraud Risk Management,Government & Controls,C,B,stop,0
290,mf_0290,Finance and investment audit,Tax & Accounting,E,B,stop,0
291,mf_0291,Tax and legal news 26 January 2017,Tax & Accounting,E,E,stop,1
292,mf_0292,PwC launches new tool to help organisations assess their workforce strategy,Business & Management,A,A,stop,1
293,mf_0293,IFRS news - June 2017,Tax & Accounting,E,E,stop,1
294,mf_0294,Deal summary OFI InfraVia / Outokumpu Oyj,Finance,B,A,stop,0
295,mf_0295,Leaders need to take responsibility for — and action on — responsible AI practices,Technology,F,F,stop,1
296,mf_0296,Global 100 Software Leaders report,Technology,F,F,stop,1
297,mf_0297,"IFRS news, October 2017",Tax & Accounting,E,E,stop,1
298,mf_0298,Energy Deals 2019,Industry,D,D,stop,1
299,mf_0299,The impacts of COVID-19 on taxation in Finland,Tax & Accounting,E,E,stop,1
300,mf_0300,System process assurance,Tax & Accounting,E,F,stop,0
301,mf_0301,"IFRS news, April 2020",Tax & Accounting,E,E,stop,1
302,mf_0302,Diversity and inclusion,Business & Management,A,A,stop,1
303,mf_0303,PwC's 21st CEO Survey: Key findings from the asset and wealth management industry,Finance,B,B,stop,1
304,mf_0304,Implementation of the filing of combined withholding tax returns and social security declarations postponed (again),Finance,B,E,stop,0
305,mf_0305,Responding to the potential business impacts of COVID-19,Business & Management,A,A,stop,1
306,mf_0306,Insurance Banana Skins 2017,Finance,B,B,stop,1
307,mf_0307,IFRS reporting,Tax & Accounting,E,E,stop,1
308,mf_0308,Tax rate benchmarking: Retail sector,Industry,D,E,stop,0
309,mf_0309,The Danish Ministry of Taxation publishes Bill to adjust the Danish tonnage tax scheme and the DIS scheme,Tax & Accounting,E,E,stop,1
310,mf_0310,PwC Appoints Pete Brown to co-lead Global People and Organisation Services,Business & Management,A,A,stop,1
311,mf_0311,What is ESG?,Business & Management,A,B,stop,0
312,mf_0312,Emerging Trends in Real Estate® - Europe 2018,Industry,D,D,stop,1
313,mf_0313,Data consumption,Technology,F,F,stop,1
314,mf_0314,Deal summary AinaCom Oy,Finance,B,B,stop,1
315,mf_0315,Tax services,Tax & Accounting,E,E,stop,1
316,mf_0316,Healthcare CEOs concerned about cyber threats but few are taking action,Industry,D,F,stop,0
317,mf_0317,PwC Named a Leader in Strategic Risk Management Consulting,Government & Controls,C,A,stop,0
318,mf_0318,Deal summary Veho Oy Ab,Finance,B,A,stop,0
319,mf_0319,HR system transformation,Business & Management,A,F,stop,0
320,mf_0320,Traditional TV and home video,Industry,D,D,stop,1
321,mf_0321,Tax Flash: New Investment Incentive Law,Tax & Accounting,E,E,stop,1
322,mf_0322,Global Economic Crime Survey 2016,Government & Controls,C,B,stop,0
323,mf_0323,The circular economy model,Industry,D,A,stop,0
324,mf_0324,PwC Named a Leader in HR Operations Consulting,Business & Management,A,A,stop,1
325,mf_0325,PwC rated as a Leader for Global Cybersecurity Consulting,Technology,F,F,stop,1
326,mf_0326,Ethics & Compliance,Government & Controls,C,C,stop,1
327,mf_0327,IFRS news,Tax & Accounting,E,E,stop,1
328,mf_0328,Tax accounting,Tax & Accounting,E,E,stop,1
329,mf_0329,Deal summary Korona Invest / Intera Partners,Finance,B,B,stop,1
330,mf_0330,Deal summary Neste Oyj / OFI InfraVia,Finance,B,B,stop,1
331,mf_0331,Employee’s Capital Pension Scheme – updated draft of new regulations has been published,Finance,B,C,stop,0
332,mf_0332,Audit and assurance services contact form,Tax & Accounting,E,E,stop,1
333,mf_0333,Growth through Innovation: “PwC's Accelerator”,Business & Management,A,A,stop,1
334,mf_0334,Emerging Trends in Real Estate: The Global Outlook 2019,Industry,D,D,stop,1
335,mf_0335,Coronavirus (COVID-19),Industry,D,C,stop,0
336,mf_0336,M&A Lead Advisory,Finance,B,B,stop,1
337,mf_0337,PwC named a Leader in the IDC MarketScape for Worldwide Risk Consulting Services,Government & Controls,C,A,stop,0
338,mf_0338,White list of VAT taxpayers will come into force in September 2019,Tax & Accounting,E,E,stop,1
339,mf_0339,Communications Review / Mobile data analytics: not just for consumers any more,Technology,F,F,stop,1
340,mf_0340,EU-gateway,Government & Controls,C,F,stop,0
341,mf_0341,Emerging Trends in Real Estate®: Europe 2019,Industry,D,D,stop,1
342,mf_0342,Private Equity & Digital Transformation,Finance,B,B,stop,1
343,mf_0343,People: Unlock competencies that drive growth,Business & Management,A,A,stop,1
344,mf_0344,PSD2 (Revised Payment Service Directive),Finance,B,C,stop,0
