question_id,baseline,p1_format,p1_format_soft,p2_complexity,p4_role,p5_fewshot
715,1,1,1,1,1,1
718,1,1,1,1,1,1
719,1,1,1,1,1,1
722,1,1,1,1,1,1
724,1,1,1,1,1,1
726,1,1,1,1,1,1
727,1,1,1,1,1,1
728,1,1,0,1,1,1
729,1,1,1,1,1,1
730,1,1,1,1,1,1
735,1,1,1,1,1,1
736,1,1,1,1,1,1
738,1,1,1,1,1,1
740,1,1,1,1,1,1
743,1,1,1,1,1,1
744,1,1,1,1,1,1
745,1,1,1,1,1,1
746,1,1,1,1,1,1
752,1,1,1,1,1,1
754,1,1,1,1,1,1
755,1,1,1,1,1,1
761,1,1,1,1,1,1
762,1,1,1,1,1,1
763,1,1,1,1,1,1
764,1,1,1,1,1,1
765,1,1,1,1,1,1
767,1,1,1,1,1,1
768,1,1,1,1,1,1
778,1,1,1,1,1,1
781,1,1,1,1,1,1
783,1,1,1,1,1,1
785,1,1,1,1,1,1
787,1,1,1,1,1,1
788,1,1,1,1,1,1
791,1,1,1,1,1,1
792,1,1,1,1,1,1
793,1,1,1,1,1,1
794,1,1,1,1,1,1
801,1,1,1,1,1,1
805,1,1,1,1,1,1
807,1,1,1,1,1,1
811,1,1,1,1,1,1
815,1,1,1,1,1,1
816,1,1,1,1,1,1
